Data,Wartość dla NN Perspektywa 2050 (A),Waluta
2019-05-07,100.00,PLN
2019-05-08,100.00,PLN
2019-05-09,100.00,PLN
2019-05-10,100.00,PLN
2019-05-13,99.99,PLN
2019-05-14,99.99,PLN
2019-05-15,99.98,PLN
2019-05-16,99.98,PLN
2019-05-17,99.98,PLN
2019-05-20,99.97,PLN
2019-05-21,99.97,PLN
2019-05-22,99.97,PLN
2019-05-23,99.97,PLN
2019-05-24,99.96,PLN
2019-05-27,99.96,PLN
2019-05-28,99.96,PLN
2019-05-29,99.95,PLN
2019-05-30,99.95,PLN
2019-05-31,99.95,PLN
2019-06-03,99.94,PLN
2019-06-04,99.94,PLN
2019-06-05,99.94,PLN
2019-06-06,99.93,PLN
2019-06-07,99.93,PLN
2019-06-10,99.92,PLN
2019-06-11,99.92,PLN
2019-06-12,99.92,PLN
2019-06-13,99.92,PLN
2019-06-14,99.91,PLN
2019-06-17,99.91,PLN
2019-06-18,99.90,PLN
2019-06-19,99.90,PLN
2019-06-21,99.90,PLN
2019-06-24,99.89,PLN
2019-06-25,99.89,PLN
2019-06-26,99.88,PLN
2019-06-27,99.88,PLN
2019-06-28,99.88,PLN
2019-07-01,99.86,PLN
2019-07-02,99.84,PLN
2019-07-03,99.83,PLN
2019-07-04,99.82,PLN
2019-07-05,99.80,PLN
2019-07-08,99.76,PLN
2019-07-09,99.75,PLN
2019-07-10,101.84,PLN
2019-07-11,101.78,PLN
2019-07-12,101.79,PLN
2019-07-15,101.91,PLN
2019-07-16,101.94,PLN
2019-07-17,101.76,PLN
2019-07-18,101.80,PLN
2019-07-19,102.05,PLN
2019-07-22,102.04,PLN
2019-07-23,102.38,PLN
2019-07-24,102.52,PLN
2019-07-25,102.24,PLN
2019-07-26,102.31,PLN
2019-07-29,102.11,PLN
2019-07-30,101.90,PLN
2019-07-31,101.88,PLN
2019-08-01,101.58,PLN
2019-08-02,101.01,PLN
2019-08-05,100.05,PLN
2019-08-06,100.03,PLN
2019-08-07,99.85,PLN
2019-08-08,100.36,PLN
2019-08-09,99.93,PLN
2019-08-12,99.59,PLN
2019-08-13,100.04,PLN
2019-08-14,99.39,PLN
2019-08-16,99.59,PLN
2019-08-19,100.00,PLN
2019-08-20,100.00,PLN
2019-08-21,100.03,PLN
2019-08-22,99.98,PLN
2019-08-23,99.44,PLN
2019-08-26,99.53,PLN
2019-08-27,99.63,PLN
2019-08-28,99.48,PLN
2019-08-29,99.79,PLN
2019-08-30,100.57,PLN
2019-09-02,100.75,PLN
2019-09-03,100.47,PLN
2019-09-04,100.53,PLN
2019-09-05,100.70,PLN
2019-09-06,100.61,PLN
2019-09-09,100.82,PLN
2019-09-10,101.00,PLN
2019-09-11,101.35,PLN
2019-09-12,101.37,PLN
2019-09-13,101.32,PLN
2019-09-16,101.55,PLN
