Data,Wartość dla NN Emerytura 2055 (A),Waluta
2019-11-29,10.00,PLN
2019-12-02,10.00,PLN
2019-12-03,10.00,PLN
2019-12-04,10.00,PLN
2019-12-05,10.00,PLN
2019-12-06,10.00,PLN
2019-12-09,10.00,PLN
2019-12-10,10.00,PLN
2019-12-11,10.00,PLN
2019-12-12,10.00,PLN
2019-12-13,10.00,PLN
2019-12-16,10.00,PLN
2019-12-17,10.00,PLN
2019-12-18,10.00,PLN
2019-12-19,10.01,PLN
2019-12-20,10.02,PLN
2019-12-23,10.03,PLN
2019-12-27,10.04,PLN
2019-12-30,10.04,PLN
2020-01-02,10.10,PLN
2020-01-03,10.07,PLN
2020-01-07,10.07,PLN
2020-01-08,10.03,PLN
2020-01-09,10.07,PLN
2020-01-10,10.10,PLN
2020-01-13,10.15,PLN
2020-01-14,10.15,PLN
2020-01-15,10.11,PLN
2020-01-16,10.13,PLN
2020-01-17,10.13,PLN
2020-01-20,10.15,PLN
2020-01-21,10.12,PLN
2020-01-22,10.11,PLN
2020-01-23,10.09,PLN
2020-01-24,10.10,PLN
2020-01-27,9.96,PLN
2020-01-28,9.99,PLN
2020-01-29,10.01,PLN
2020-01-30,9.95,PLN
2020-01-31,9.93,PLN
2020-02-03,9.96,PLN
2020-02-04,10.03,PLN
2020-02-05,10.07,PLN
2020-02-06,10.06,PLN
2020-02-07,10.04,PLN
2020-02-10,10.04,PLN
2020-02-11,10.08,PLN
2020-02-12,10.10,PLN
2020-02-13,10.10,PLN
2020-02-14,10.10,PLN
2020-02-17,10.13,PLN
2020-02-18,10.14,PLN
2020-02-19,10.17,PLN
2020-02-20,10.14,PLN
2020-02-21,10.12,PLN
2020-02-24,9.92,PLN
2020-02-25,9.82,PLN
2020-02-26,9.80,PLN
2020-02-27,9.58,PLN
2020-02-28,9.36,PLN
2020-03-02,9.48,PLN
2020-03-03,9.63,PLN
2020-03-04,9.61,PLN
2020-03-05,9.53,PLN
2020-03-06,9.36,PLN
2020-03-09,8.94,PLN
2020-03-10,8.87,PLN
2020-03-11,8.66,PLN
2020-03-12,8.00,PLN
2020-03-13,8.18,PLN
2020-03-16,8.07,PLN
2020-03-17,8.34,PLN
2020-03-18,8.20,PLN
2020-03-19,8.39,PLN
2020-03-20,8.43,PLN
2020-03-23,8.17,PLN
2020-03-24,8.41,PLN
2020-03-25,8.42,PLN
2020-03-26,8.57,PLN
2020-03-27,8.52,PLN
2020-03-30,8.55,PLN
2020-03-31,8.64,PLN
2020-04-01,8.52,PLN
2020-04-02,8.55,PLN
2020-04-03,8.58,PLN
