Data,Wartość dla NN Stabilnego Wzrostu (A),Waluta
2021-12-21,293.69,PLN
2021-12-22,294.52,PLN
2021-12-23,294.87,PLN
2021-12-27,294.98,PLN
2021-12-28,295.36,PLN
2021-12-29,294.81,PLN
2021-12-30,294.87,PLN
2022-01-03,295.92,PLN
2022-01-04,295.77,PLN
2022-01-05,296.38,PLN
2022-01-07,295.61,PLN
2022-01-10,294.77,PLN
2022-01-11,296.82,PLN
2022-01-12,299.49,PLN
2022-01-13,299.41,PLN
2022-01-14,298.01,PLN
2022-01-17,297.52,PLN
2022-01-18,295.83,PLN
2022-01-19,296.29,PLN
2022-01-20,295.75,PLN
2022-01-21,294.76,PLN
2022-01-24,290.28,PLN
2022-01-25,291.55,PLN
2022-01-26,292.75,PLN
2022-01-27,292.54,PLN
2022-01-28,290.99,PLN
2022-01-31,291.78,PLN
2022-02-01,292.64,PLN
2022-02-02,293.83,PLN
2022-02-03,293.21,PLN
2022-02-04,291.98,PLN
2022-02-07,292.33,PLN
2022-02-08,293.31,PLN
2022-02-09,293.45,PLN
2022-02-10,292.53,PLN
2022-02-11,291.77,PLN
2022-02-14,289.22,PLN
2022-02-15,291.56,PLN
2022-02-16,291.73,PLN
2022-02-17,290.33,PLN
2022-02-18,289.47,PLN
2022-02-21,286.84,PLN
