Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2010-09-22,105.06,PLN
2010-09-23,104.95,PLN
2010-09-24,105.56,PLN
2010-09-27,105.25,PLN
2010-09-28,104.88,PLN
2010-09-29,104.28,PLN
2010-09-30,103.82,PLN
2010-10-01,103.67,PLN
2010-10-04,103.33,PLN
2010-10-05,104.43,PLN
2010-10-06,104.49,PLN
2010-10-07,104.64,PLN
2010-10-08,104.60,PLN
2010-10-11,104.95,PLN
2010-10-12,104.44,PLN
2010-10-13,105.68,PLN
2010-10-14,105.50,PLN
2010-10-15,105.77,PLN
2010-10-18,106.32,PLN
2010-10-19,105.88,PLN
2010-10-20,105.94,PLN
2010-10-21,106.37,PLN
2010-10-22,106.05,PLN
2010-10-25,106.11,PLN
2010-10-26,106.25,PLN
2010-10-27,105.73,PLN
2010-10-28,106.12,PLN
2010-10-29,106.23,PLN
2010-11-02,106.49,PLN
2010-11-03,105.95,PLN
2010-11-04,107.11,PLN
2010-11-05,107.49,PLN
2010-11-08,107.59,PLN
2010-11-09,107.87,PLN
2010-11-10,107.92,PLN
2010-11-12,107.36,PLN
2010-11-15,107.99,PLN
2010-11-16,106.06,PLN
2010-11-17,106.64,PLN
2010-11-18,107.69,PLN
2010-11-19,107.14,PLN
2010-11-22,106.50,PLN
2010-11-23,104.91,PLN
2010-11-24,105.29,PLN
2010-11-25,105.28,PLN
2010-11-26,105.23,PLN
2010-11-29,103.62,PLN
2010-11-30,103.35,PLN
2010-12-01,104.66,PLN
2010-12-02,105.73,PLN
2010-12-03,105.66,PLN
2010-12-06,105.59,PLN
2010-12-07,106.56,PLN
2010-12-08,107.39,PLN
2010-12-09,108.18,PLN
2010-12-10,108.09,PLN
2010-12-13,108.37,PLN
2010-12-14,108.77,PLN
2010-12-15,108.54,PLN
2010-12-16,108.94,PLN
2010-12-17,108.36,PLN
2010-12-20,109.11,PLN
2010-12-21,109.84,PLN
2010-12-22,110.01,PLN
2010-12-23,110.14,PLN
2010-12-27,109.28,PLN
2010-12-28,109.51,PLN
2010-12-29,109.99,PLN
2010-12-30,108.74,PLN
2010-12-31,108.32,PLN
2011-01-03,109.08,PLN
2011-01-04,110.01,PLN
2011-01-05,110.18,PLN
2011-01-07,110.31,PLN
2011-01-10,109.36,PLN
2011-01-11,110.23,PLN
2011-01-12,111.77,PLN
2011-01-13,111.57,PLN
2011-01-14,111.90,PLN
2011-01-17,112.17,PLN
2011-01-18,112.96,PLN
2011-01-19,112.06,PLN
2011-01-20,111.62,PLN
2011-01-21,112.54,PLN
2011-01-24,112.98,PLN
2011-01-25,112.08,PLN
2011-01-26,112.53,PLN
2011-01-27,112.71,PLN
2011-01-28,111.88,PLN
2011-01-31,111.77,PLN
2011-02-01,113.04,PLN
2011-02-02,113.53,PLN
2011-02-03,113.65,PLN
2011-02-04,114.04,PLN
2011-02-07,115.10,PLN
2011-02-08,114.98,PLN
2011-02-09,114.83,PLN
2011-02-10,114.73,PLN
2011-02-11,114.65,PLN
2011-02-14,114.76,PLN
2011-02-15,114.86,PLN
2011-02-16,115.54,PLN
2011-02-17,115.83,PLN
2011-02-18,116.03,PLN
2011-02-21,114.72,PLN
2011-02-22,113.80,PLN
2011-02-23,113.13,PLN
2011-02-24,112.43,PLN
2011-02-25,113.61,PLN
2011-02-28,114.45,PLN
2011-03-01,113.67,PLN
2011-03-02,112.94,PLN
2011-03-03,113.15,PLN
2011-03-04,112.59,PLN
2011-03-07,112.07,PLN
2011-03-08,112.68,PLN
2011-03-09,112.50,PLN
2011-03-10,111.77,PLN
2011-03-11,110.86,PLN
2011-03-14,109.43,PLN
2011-03-15,107.13,PLN
2011-03-16,105.74,PLN
2011-03-17,107.36,PLN
2011-03-18,107.38,PLN
2011-03-21,109.02,PLN
2011-03-22,108.82,PLN
2011-03-23,109.05,PLN
2011-03-24,109.67,PLN
2011-03-25,109.84,PLN
2011-03-28,109.98,PLN
2011-03-29,110.01,PLN
2011-03-30,110.74,PLN
2011-03-31,109.71,PLN
2011-04-01,110.92,PLN
2011-04-04,110.99,PLN
2011-04-05,111.24,PLN
2011-04-06,111.41,PLN
2011-04-07,111.47,PLN
2011-04-08,111.71,PLN
2011-04-11,111.54,PLN
2011-04-12,110.16,PLN
2011-04-13,110.82,PLN
2011-04-14,110.42,PLN
2011-04-15,110.80,PLN
2011-04-18,109.25,PLN
2011-04-19,109.64,PLN
2011-04-20,111.20,PLN
2011-04-21,111.44,PLN
2011-04-26,112.02,PLN
2011-04-27,112.64,PLN
2011-04-28,113.34,PLN
2011-04-29,113.43,PLN
2011-05-02,113.38,PLN
2011-05-04,112.62,PLN
2011-05-05,112.40,PLN
2011-05-06,113.74,PLN
2011-05-09,113.49,PLN
2011-05-10,114.08,PLN
2011-05-11,114.70,PLN
2011-05-12,114.49,PLN
2011-05-13,113.95,PLN
2011-05-16,113.31,PLN
2011-05-17,112.64,PLN
2011-05-18,113.05,PLN
2011-05-19,113.38,PLN
2011-05-20,113.47,PLN
2011-05-23,112.13,PLN
2011-05-24,111.78,PLN
2011-05-25,112.59,PLN
2011-05-26,112.88,PLN
2011-05-27,113.19,PLN
2011-05-30,112.95,PLN
2011-05-31,113.72,PLN
2011-06-01,112.91,PLN
2011-06-02,112.90,PLN
2011-06-03,110.76,PLN
2011-06-06,110.31,PLN
2011-06-07,110.56,PLN
2011-06-08,109.52,PLN
2011-06-09,110.27,PLN
2011-06-10,108.96,PLN
2011-06-13,108.94,PLN
2011-06-14,109.71,PLN
2011-06-15,108.87,PLN
