Data,Wartość dla NN Emerytura 2025 (A),Waluta
2019-11-29,10.00,PLN
2019-12-02,10.00,PLN
2019-12-03,10.00,PLN
2019-12-04,10.00,PLN
2019-12-05,10.00,PLN
2019-12-06,10.00,PLN
2019-12-09,10.00,PLN
2019-12-10,10.00,PLN
2019-12-11,10.00,PLN
2019-12-12,10.00,PLN
2019-12-13,10.00,PLN
2019-12-16,10.00,PLN
2019-12-17,10.00,PLN
2019-12-18,10.00,PLN
2019-12-19,10.00,PLN
2019-12-20,10.01,PLN
2019-12-23,10.01,PLN
2019-12-27,10.02,PLN
2019-12-30,10.02,PLN
2020-01-02,10.06,PLN
2020-01-03,10.05,PLN
2020-01-07,10.05,PLN
2020-01-08,10.04,PLN
2020-01-09,10.04,PLN
2020-01-10,10.05,PLN
2020-01-13,10.08,PLN
2020-01-14,10.08,PLN
2020-01-15,10.06,PLN
2020-01-16,10.06,PLN
2020-01-17,10.06,PLN
2020-01-20,10.06,PLN
2020-01-21,10.05,PLN
2020-01-22,10.06,PLN
2020-01-23,10.05,PLN
2020-01-24,10.05,PLN
2020-01-27,10.00,PLN
2020-01-28,10.01,PLN
2020-01-29,10.02,PLN
2020-01-30,10.00,PLN
2020-01-31,10.00,PLN
2020-02-03,10.01,PLN
2020-02-04,10.04,PLN
2020-02-05,10.05,PLN
2020-02-06,10.05,PLN
2020-02-07,10.05,PLN
2020-02-10,10.05,PLN
2020-02-11,10.06,PLN
2020-02-12,10.07,PLN
2020-02-13,10.06,PLN
2020-02-14,10.06,PLN
2020-02-17,10.07,PLN
2020-02-18,10.08,PLN
2020-02-19,10.10,PLN
2020-02-20,10.08,PLN
2020-02-21,10.08,PLN
2020-02-24,10.02,PLN
2020-02-25,9.98,PLN
2020-02-26,9.98,PLN
2020-02-27,9.90,PLN
2020-02-28,9.81,PLN
2020-03-02,9.87,PLN
2020-03-03,9.93,PLN
2020-03-04,9.93,PLN
2020-03-05,9.90,PLN
2020-03-06,9.84,PLN
2020-03-09,9.70,PLN
2020-03-10,9.65,PLN
2020-03-11,9.55,PLN
2020-03-12,9.24,PLN
2020-03-13,9.29,PLN
2020-03-16,9.22,PLN
2020-03-17,9.42,PLN
2020-03-18,9.32,PLN
2020-03-19,9.39,PLN
2020-03-20,9.46,PLN
2020-03-23,9.34,PLN
2020-03-24,9.47,PLN
2020-03-25,9.45,PLN
2020-03-26,9.54,PLN
2020-03-27,9.50,PLN
2020-03-30,9.53,PLN
2020-03-31,9.60,PLN
2020-04-01,9.51,PLN
2020-04-02,9.52,PLN
2020-04-03,9.53,PLN
