Data,Wartość dla NN Perspektywa 2055 (A),Waluta
2019-05-07,100.00,PLN
2019-05-08,100.00,PLN
2019-05-09,100.00,PLN
2019-05-10,100.00,PLN
2019-05-13,99.99,PLN
2019-05-14,99.99,PLN
2019-05-15,99.98,PLN
2019-05-16,99.98,PLN
2019-05-17,99.98,PLN
2019-05-20,99.98,PLN
2019-05-21,99.97,PLN
2019-05-22,99.97,PLN
2019-05-23,99.97,PLN
2019-05-24,99.97,PLN
2019-05-27,99.96,PLN
2019-05-28,99.96,PLN
2019-05-29,99.96,PLN
2019-05-30,99.95,PLN
2019-05-31,99.95,PLN
2019-06-03,99.94,PLN
2019-06-04,99.94,PLN
2019-06-05,99.94,PLN
2019-06-06,99.94,PLN
2019-06-07,99.93,PLN
2019-06-10,99.93,PLN
2019-06-11,99.92,PLN
2019-06-12,99.92,PLN
2019-06-13,99.92,PLN
2019-06-14,99.92,PLN
2019-06-17,99.90,PLN
2019-06-18,99.90,PLN
2019-06-19,99.90,PLN
2019-06-21,99.89,PLN
2019-06-24,99.88,PLN
2019-06-25,99.88,PLN
2019-06-26,99.88,PLN
2019-06-27,99.88,PLN
2019-06-28,99.87,PLN
2019-07-01,99.86,PLN
2019-07-02,99.86,PLN
2019-07-03,99.85,PLN
2019-07-04,99.84,PLN
2019-07-05,99.84,PLN
2019-07-08,99.82,PLN
2019-07-09,99.81,PLN
2019-07-10,101.40,PLN
2019-07-11,101.39,PLN
2019-07-12,101.41,PLN
2019-07-15,101.59,PLN
2019-07-16,101.63,PLN
2019-07-17,101.40,PLN
2019-07-18,101.46,PLN
2019-07-19,101.76,PLN
2019-07-22,101.79,PLN
2019-07-23,102.14,PLN
2019-07-24,102.34,PLN
2019-07-25,102.01,PLN
2019-07-26,102.07,PLN
2019-07-29,101.87,PLN
2019-07-30,101.59,PLN
2019-07-31,101.57,PLN
2019-08-01,101.23,PLN
2019-08-02,100.58,PLN
2019-08-05,99.32,PLN
2019-08-06,99.31,PLN
2019-08-07,99.15,PLN
2019-08-08,99.80,PLN
2019-08-09,99.37,PLN
2019-08-12,98.98,PLN
2019-08-13,99.52,PLN
2019-08-14,98.78,PLN
2019-08-16,98.98,PLN
2019-08-19,99.37,PLN
2019-08-20,99.40,PLN
2019-08-21,99.41,PLN
2019-08-22,99.34,PLN
2019-08-23,98.87,PLN
2019-08-26,98.95,PLN
2019-08-27,99.05,PLN
2019-08-28,98.91,PLN
2019-08-29,99.20,PLN
2019-08-30,99.94,PLN
2019-09-02,100.11,PLN
2019-09-03,99.85,PLN
2019-09-04,99.96,PLN
2019-09-05,100.07,PLN
2019-09-06,100.08,PLN
2019-09-09,100.40,PLN
2019-09-10,100.58,PLN
2019-09-11,100.92,PLN
2019-09-12,100.94,PLN
2019-09-13,100.92,PLN
2019-09-16,101.12,PLN
