Data,Wartość dla NN Perspektywa 2025 (A),Waluta
2013-01-25,110.19,PLN
2013-01-28,109.73,PLN
2013-01-29,109.85,PLN
2013-01-30,109.47,PLN
2013-01-31,109.58,PLN
2013-02-01,109.76,PLN
2013-02-04,109.49,PLN
2013-02-05,109.52,PLN
2013-02-06,109.07,PLN
2013-02-07,109.07,PLN
2013-02-08,109.25,PLN
2013-02-11,109.14,PLN
2013-02-12,108.99,PLN
2013-02-13,109.16,PLN
2013-02-14,109.11,PLN
2013-02-15,109.33,PLN
2013-02-18,109.43,PLN
2013-02-19,109.45,PLN
2013-02-20,109.13,PLN
2013-02-21,109.03,PLN
2013-02-22,109.11,PLN
2013-02-25,109.18,PLN
2013-02-26,109.00,PLN
2013-02-27,109.28,PLN
2013-02-28,109.37,PLN
2013-03-01,109.40,PLN
2013-03-04,109.17,PLN
2013-03-05,109.43,PLN
2013-03-06,109.87,PLN
2013-03-07,109.88,PLN
2013-03-08,110.17,PLN
2013-03-11,110.03,PLN
2013-03-12,110.12,PLN
2013-03-13,110.11,PLN
2013-03-14,110.29,PLN
2013-03-15,110.25,PLN
2013-03-18,110.02,PLN
2013-03-19,109.59,PLN
2013-03-20,109.52,PLN
2013-03-21,109.24,PLN
2013-03-22,108.92,PLN
2013-03-25,108.74,PLN
2013-03-26,108.89,PLN
2013-03-27,109.25,PLN
2013-03-28,109.14,PLN
2013-04-02,109.37,PLN
2013-04-03,109.00,PLN
2013-04-04,109.11,PLN
2013-04-05,109.21,PLN
2013-04-08,109.51,PLN
2013-04-09,109.52,PLN
2013-04-10,109.83,PLN
2013-04-11,110.10,PLN
2013-04-12,110.01,PLN
2013-04-15,109.43,PLN
2013-04-17,109.10,PLN
2013-04-18,108.77,PLN
2013-04-19,108.99,PLN
2013-04-22,109.06,PLN
2013-04-23,109.07,PLN
2013-04-24,109.37,PLN
2013-04-25,109.54,PLN
2013-04-26,109.75,PLN
2013-04-29,110.07,PLN
2013-04-30,110.38,PLN
2013-05-02,110.54,PLN
2013-05-06,110.87,PLN
2013-05-07,111.02,PLN
2013-05-08,111.42,PLN
2013-05-09,111.55,PLN
2013-05-10,111.38,PLN
2013-05-13,111.39,PLN
2013-05-14,111.83,PLN
2013-05-15,111.95,PLN
2013-05-16,111.80,PLN
2013-05-17,111.92,PLN
2013-05-20,111.70,PLN
2013-05-21,111.59,PLN
2013-05-22,111.86,PLN
2013-05-23,111.17,PLN
2013-05-24,111.52,PLN
2013-05-27,112.21,PLN
2013-05-28,112.31,PLN
2013-05-29,111.86,PLN
2013-05-31,111.71,PLN
2013-06-03,111.20,PLN
2013-06-04,111.58,PLN
2013-06-05,111.40,PLN
2013-06-06,110.65,PLN
2013-06-07,111.11,PLN
2013-06-10,110.78,PLN
2013-06-11,110.20,PLN
2013-06-12,110.41,PLN
2013-06-13,110.46,PLN
2013-06-14,110.99,PLN
2013-06-17,110.82,PLN
2013-06-18,110.49,PLN
2013-06-19,110.27,PLN
2013-06-20,107.93,PLN
2013-06-21,106.97,PLN
2013-06-24,106.29,PLN
2013-06-25,106.76,PLN
2013-06-26,107.07,PLN
2013-06-27,106.88,PLN
2013-06-28,107.30,PLN
2013-07-01,107.48,PLN
2013-07-02,108.30,PLN
2013-07-03,107.97,PLN
2013-07-04,108.65,PLN
2013-07-05,108.20,PLN
2013-07-08,107.88,PLN
2013-07-09,108.06,PLN
2013-07-10,108.28,PLN
2013-07-11,108.95,PLN
2013-07-12,109.34,PLN
2013-07-15,109.43,PLN
2013-07-16,109.35,PLN
2013-07-17,109.31,PLN
2013-07-18,109.52,PLN
2013-07-19,109.66,PLN
2013-07-22,109.88,PLN
2013-07-23,109.96,PLN
2013-07-24,109.78,PLN
2013-07-25,109.62,PLN
2013-07-26,109.43,PLN
2013-07-29,109.53,PLN
2013-07-30,109.52,PLN
2013-07-31,109.39,PLN
2013-08-01,109.68,PLN
2013-08-02,110.12,PLN
2013-08-05,110.22,PLN
2013-08-06,109.86,PLN
2013-08-07,110.01,PLN
2013-08-08,110.48,PLN
2013-08-09,110.79,PLN
2013-08-12,111.08,PLN
2013-08-13,111.14,PLN
2013-08-14,111.29,PLN
2013-08-16,110.83,PLN
2013-08-19,110.37,PLN
2013-08-20,110.07,PLN
2013-08-21,109.84,PLN
2013-08-22,110.09,PLN
2013-08-23,110.24,PLN
2013-08-26,110.34,PLN
2013-08-27,109.64,PLN
2013-08-28,109.22,PLN
2013-08-29,109.45,PLN
2013-08-30,109.57,PLN
2013-09-02,109.81,PLN
2013-09-03,109.45,PLN
2013-09-04,108.68,PLN
2013-09-05,107.43,PLN
2013-09-06,108.05,PLN
2013-09-09,109.07,PLN
2013-09-10,109.73,PLN
2013-09-11,110.39,PLN
2013-09-12,110.61,PLN
2013-09-13,110.51,PLN
2013-09-16,110.67,PLN
2013-09-17,110.77,PLN
2013-09-18,110.94,PLN
2013-09-19,111.81,PLN
2013-09-20,111.73,PLN
2013-09-23,111.64,PLN
2013-09-24,111.64,PLN
2013-09-25,111.66,PLN
2013-09-26,111.79,PLN
2013-09-27,111.65,PLN
2013-09-30,111.26,PLN
2013-10-01,111.72,PLN
2013-10-02,111.82,PLN
2013-10-03,111.89,PLN
2013-10-04,111.75,PLN
2013-10-07,111.72,PLN
2013-10-08,111.59,PLN
2013-10-09,111.74,PLN
2013-10-10,112.57,PLN
2013-10-11,112.87,PLN
2013-10-14,113.18,PLN
2013-10-15,113.43,PLN
2013-10-16,113.70,PLN
2013-10-17,113.81,PLN
2013-10-18,114.12,PLN
2013-10-21,114.68,PLN
2013-10-22,114.85,PLN
2013-10-23,114.75,PLN
2013-10-24,115.26,PLN
2013-10-25,115.19,PLN
2013-10-28,115.48,PLN
2013-10-29,115.66,PLN
2013-10-30,115.43,PLN
2013-10-31,115.05,PLN
2013-11-04,114.99,PLN
2013-11-05,114.45,PLN
2013-11-06,114.74,PLN
2013-11-07,114.76,PLN
2013-11-08,114.12,PLN
2013-11-12,113.81,PLN
2013-11-13,113.58,PLN
2013-11-14,114.01,PLN
2013-11-15,114.44,PLN
2013-11-18,115.18,PLN
2013-11-19,114.93,PLN
2013-11-20,114.89,PLN
2013-11-21,114.70,PLN
2013-11-22,114.90,PLN
2013-11-25,115.17,PLN
2013-11-26,114.69,PLN
2013-11-27,114.63,PLN
2013-11-28,114.46,PLN
2013-11-29,114.67,PLN
2013-12-02,114.11,PLN
2013-12-03,113.67,PLN
2013-12-04,113.27,PLN
2013-12-05,113.14,PLN
2013-12-06,113.34,PLN
2013-12-09,113.70,PLN
2013-12-10,113.75,PLN
2013-12-11,113.54,PLN
2013-12-12,113.07,PLN
2013-12-13,113.07,PLN
2013-12-16,113.26,PLN
2013-12-17,112.76,PLN
2013-12-18,113.07,PLN
2013-12-19,112.88,PLN
2013-12-20,113.06,PLN
2013-12-23,113.27,PLN
2013-12-27,113.14,PLN
2013-12-30,113.22,PLN
2014-01-02,113.16,PLN
2014-01-03,112.94,PLN
2014-01-07,112.39,PLN
2014-01-08,112.41,PLN
2014-01-09,111.95,PLN
2014-01-10,112.14,PLN
2014-01-13,112.74,PLN
2014-01-14,112.75,PLN
2014-01-15,113.08,PLN
2014-01-16,113.21,PLN
2014-01-17,113.12,PLN
2014-01-20,113.13,PLN
2014-01-21,113.34,PLN
2014-01-22,113.54,PLN
2014-01-23,113.16,PLN
2014-01-24,112.27,PLN
2014-01-27,111.73,PLN
2014-01-28,112.04,PLN
2014-01-29,111.64,PLN
