Data,Wartość dla NN Perspektywa 2030 (A),Waluta
2012-03-20,100.23,PLN
2012-03-21,100.23,PLN
2012-03-22,99.74,PLN
2012-03-23,99.96,PLN
2012-03-26,100.30,PLN
2012-03-27,100.48,PLN
2012-03-28,100.08,PLN
2012-03-29,99.47,PLN
2012-03-30,99.92,PLN
2012-04-02,100.18,PLN
2012-04-03,100.28,PLN
2012-04-04,99.35,PLN
2012-04-05,99.31,PLN
2012-04-10,98.52,PLN
2012-04-11,98.86,PLN
2012-04-12,99.38,PLN
2012-04-13,99.06,PLN
2012-04-16,98.97,PLN
2012-04-17,99.33,PLN
2012-04-18,99.04,PLN
2012-04-19,98.99,PLN
2012-04-20,98.88,PLN
2012-04-23,97.84,PLN
2012-04-24,98.22,PLN
2012-04-25,98.67,PLN
2012-04-26,99.10,PLN
2012-04-27,99.46,PLN
2012-04-30,99.62,PLN
2012-05-02,99.80,PLN
2012-05-04,99.44,PLN
2012-05-07,99.29,PLN
2012-05-08,98.55,PLN
2012-05-09,98.01,PLN
2012-05-10,98.23,PLN
2012-05-11,98.02,PLN
2012-05-14,96.88,PLN
2012-05-15,96.54,PLN
2012-05-16,96.16,PLN
2012-05-17,95.30,PLN
2012-05-18,95.20,PLN
2012-05-21,95.66,PLN
2012-05-22,95.95,PLN
2012-05-23,94.82,PLN
2012-05-24,94.88,PLN
2012-05-25,95.04,PLN
2012-05-28,95.30,PLN
2012-05-29,95.82,PLN
2012-05-30,95.16,PLN
2012-05-31,95.42,PLN
2012-06-01,94.73,PLN
2012-06-04,94.79,PLN
2012-06-05,94.48,PLN
2012-06-06,95.44,PLN
2012-06-08,95.98,PLN
2012-06-11,96.18,PLN
2012-06-12,96.65,PLN
2012-06-13,96.79,PLN
2012-06-14,96.70,PLN
2012-06-15,97.20,PLN
2012-06-18,97.38,PLN
2012-06-19,98.24,PLN
2012-06-20,98.32,PLN
2012-06-21,97.87,PLN
2012-06-22,97.68,PLN
2012-06-25,97.20,PLN
2012-06-26,97.63,PLN
2012-06-27,97.98,PLN
2012-06-28,97.46,PLN
2012-06-29,98.59,PLN
2012-07-02,98.57,PLN
2012-07-03,98.91,PLN
2012-07-04,98.84,PLN
2012-07-05,98.95,PLN
2012-07-06,98.75,PLN
2012-07-09,98.45,PLN
2012-07-10,98.47,PLN
2012-07-11,98.37,PLN
2012-07-12,98.17,PLN
2012-07-13,98.72,PLN
2012-07-16,98.77,PLN
2012-07-17,98.96,PLN
2012-07-18,99.10,PLN
2012-07-19,99.39,PLN
2012-07-20,98.97,PLN
2012-07-23,97.89,PLN
2012-07-24,97.91,PLN
2012-07-25,97.96,PLN
2012-07-26,98.36,PLN
2012-07-27,99.08,PLN
2012-07-30,99.45,PLN
2012-07-31,99.43,PLN
2012-08-01,99.42,PLN
2012-08-02,99.02,PLN
2012-08-03,99.87,PLN
2012-08-06,100.30,PLN
2012-08-07,100.21,PLN
2012-08-08,100.22,PLN
2012-08-09,100.66,PLN
2012-08-10,100.51,PLN
2012-08-13,100.40,PLN
