Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2010-09-23,107.23,PLN
2010-09-24,108.62,PLN
2010-09-27,108.32,PLN
2010-09-28,108.89,PLN
2010-09-29,108.88,PLN
2010-09-30,108.70,PLN
2010-10-01,108.89,PLN
2010-10-04,108.40,PLN
2010-10-05,109.83,PLN
2010-10-06,109.87,PLN
2010-10-07,109.88,PLN
2010-10-08,110.23,PLN
2010-10-11,110.21,PLN
2010-10-12,110.47,PLN
2010-10-13,111.12,PLN
2010-10-14,110.82,PLN
2010-10-15,110.83,PLN
2010-10-18,111.35,PLN
2010-10-19,110.01,PLN
2010-10-20,110.80,PLN
2010-10-21,111.11,PLN
2010-10-22,111.13,PLN
2010-10-25,111.37,PLN
2010-10-26,111.20,PLN
2010-10-27,110.72,PLN
2010-10-28,110.95,PLN
2010-10-29,111.22,PLN
2010-11-02,111.51,PLN
2010-11-03,111.63,PLN
2010-11-04,112.77,PLN
2010-11-05,112.89,PLN
2010-11-08,112.67,PLN
2010-11-09,112.15,PLN
2010-11-10,112.21,PLN
2010-11-12,111.14,PLN
2010-11-15,111.11,PLN
2010-11-16,109.75,PLN
2010-11-17,109.90,PLN
2010-11-18,110.73,PLN
2010-11-19,110.74,PLN
2010-11-22,110.62,PLN
2010-11-23,109.56,PLN
2010-11-24,110.60,PLN
2010-11-25,110.59,PLN
2010-11-26,110.06,PLN
2010-11-29,109.92,PLN
2010-11-30,109.44,PLN
2010-12-01,110.94,PLN
2010-12-02,111.67,PLN
2010-12-03,111.78,PLN
2010-12-06,111.43,PLN
2010-12-07,111.71,PLN
2010-12-08,111.98,PLN
2010-12-09,112.11,PLN
2010-12-10,112.60,PLN
2010-12-13,112.65,PLN
2010-12-14,113.13,PLN
2010-12-15,113.05,PLN
2010-12-16,113.65,PLN
2010-12-17,113.68,PLN
2010-12-20,113.63,PLN
2010-12-21,113.80,PLN
2010-12-22,114.10,PLN
2010-12-23,114.15,PLN
2010-12-27,113.93,PLN
2010-12-28,114.08,PLN
2010-12-29,114.26,PLN
2010-12-30,114.14,PLN
2010-12-31,114.00,PLN
2011-01-03,114.39,PLN
2011-01-04,114.07,PLN
2011-01-05,114.35,PLN
2011-01-07,114.29,PLN
2011-01-10,114.17,PLN
2011-01-11,114.31,PLN
2011-01-12,115.23,PLN
2011-01-13,114.90,PLN
2011-01-14,115.34,PLN
2011-01-17,115.34,PLN
2011-01-18,115.51,PLN
2011-01-19,115.01,PLN
2011-01-20,115.05,PLN
2011-01-21,114.94,PLN
2011-01-24,115.27,PLN
2011-01-25,115.63,PLN
2011-01-26,115.75,PLN
2011-01-27,115.63,PLN
2011-01-28,114.57,PLN
2011-01-31,114.75,PLN
2011-02-01,115.84,PLN
2011-02-02,115.66,PLN
2011-02-03,116.09,PLN
2011-02-04,116.42,PLN
2011-02-07,116.68,PLN
2011-02-08,116.84,PLN
2011-02-09,116.77,PLN
2011-02-10,116.74,PLN
2011-02-11,117.37,PLN
2011-02-14,117.74,PLN
2011-02-15,117.74,PLN
2011-02-16,118.64,PLN
2011-02-17,119.27,PLN
2011-02-18,119.34,PLN
2011-02-21,119.33,PLN
2011-02-22,118.64,PLN
2011-02-23,118.09,PLN
2011-02-24,118.11,PLN
2011-02-25,118.97,PLN
2011-02-28,119.75,PLN
2011-03-01,118.69,PLN
2011-03-02,118.69,PLN
2011-03-03,119.69,PLN
2011-03-04,119.34,PLN
2011-03-07,118.75,PLN
2011-03-08,119.21,PLN
2011-03-09,119.52,PLN
2011-03-10,118.21,PLN
2011-03-11,118.53,PLN
2011-03-14,117.68,PLN
2011-03-15,116.90,PLN
2011-03-16,116.04,PLN
2011-03-17,116.47,PLN
2011-03-18,117.29,PLN
2011-03-21,118.37,PLN
2011-03-22,118.24,PLN
2011-03-23,118.25,PLN
2011-03-24,118.81,PLN
2011-03-25,119.03,PLN
2011-03-28,119.03,PLN
2011-03-29,119.42,PLN
2011-03-30,119.98,PLN
2011-03-31,119.90,PLN
2011-04-01,120.38,PLN
2011-04-04,120.65,PLN
2011-04-05,120.82,PLN
2011-04-06,121.32,PLN
2011-04-07,121.33,PLN
2011-04-08,120.92,PLN
2011-04-11,121.03,PLN
2011-04-12,120.47,PLN
2011-04-13,120.31,PLN
2011-04-14,120.80,PLN
2011-04-15,121.49,PLN
2011-04-18,120.62,PLN
2011-04-19,121.06,PLN
2011-04-20,122.23,PLN
2011-04-21,122.08,PLN
2011-04-26,123.11,PLN
2011-04-27,123.93,PLN
2011-04-28,124.01,PLN
2011-04-29,124.32,PLN
2011-05-02,123.82,PLN
2011-05-04,123.80,PLN
2011-05-05,122.76,PLN
2011-05-06,123.18,PLN
2011-05-09,123.96,PLN
2011-05-10,124.28,PLN
2011-05-11,123.50,PLN
2011-05-12,124.84,PLN
2011-05-13,124.33,PLN
2011-05-16,123.78,PLN
2011-05-17,123.78,PLN
2011-05-18,124.35,PLN
2011-05-19,124.88,PLN
2011-05-20,124.46,PLN
2011-05-23,123.31,PLN
2011-05-24,123.00,PLN
2011-05-25,123.11,PLN
2011-05-26,123.42,PLN
2011-05-27,123.45,PLN
2011-05-30,123.43,PLN
2011-05-31,124.43,PLN
2011-06-01,122.71,PLN
2011-06-02,122.70,PLN
2011-06-03,120.72,PLN
2011-06-06,119.82,PLN
2011-06-07,119.88,PLN
2011-06-08,119.64,PLN
2011-06-09,119.71,PLN
2011-06-10,118.30,PLN
2011-06-13,118.28,PLN
2011-06-14,120.35,PLN
2011-06-15,118.81,PLN
2011-06-16,118.66,PLN
2011-06-17,119.32,PLN
2011-06-20,119.54,PLN
2011-06-21,120.49,PLN
2011-06-22,120.38,PLN
2011-06-24,118.81,PLN
2011-06-27,119.30,PLN
2011-06-28,120.12,PLN
2011-06-29,120.70,PLN
2011-06-30,121.52,PLN
2011-07-01,122.46,PLN
2011-07-04,122.44,PLN
2011-07-05,122.03,PLN
2011-07-06,122.23,PLN
2011-07-07,123.09,PLN
2011-07-08,122.37,PLN
2011-07-11,120.63,PLN
2011-07-12,120.88,PLN
2011-07-13,121.05,PLN
2011-07-14,120.55,PLN
2011-07-15,120.37,PLN
2011-07-18,119.20,PLN
2011-07-19,120.70,PLN
2011-07-20,121.00,PLN
2011-07-21,121.67,PLN
