Data,Wartość dla NN Emerytura 2060 (A),Waluta
2022-01-26,12.93,PLN
2022-01-27,12.93,PLN
2022-01-28,12.76,PLN
2022-01-31,12.89,PLN
2022-02-01,13.00,PLN
2022-02-02,13.11,PLN
2022-02-03,13.00,PLN
2022-02-04,12.83,PLN
2022-02-07,12.89,PLN
2022-02-08,12.98,PLN
2022-02-09,13.07,PLN
2022-02-10,12.99,PLN
2022-02-11,12.93,PLN
2022-02-14,12.74,PLN
2022-02-15,12.90,PLN
2022-02-16,12.88,PLN
2022-02-17,12.76,PLN
2022-02-18,12.68,PLN
2022-02-21,12.45,PLN
2022-02-22,12.51,PLN
2022-02-23,12.36,PLN
2022-02-24,11.62,PLN
2022-02-25,12.20,PLN
2022-02-28,12.28,PLN
2022-03-01,12.16,PLN
2022-03-02,12.43,PLN
2022-03-03,12.32,PLN
2022-03-04,12.01,PLN
2022-03-07,11.95,PLN
2022-03-08,11.81,PLN
2022-03-09,12.02,PLN
2022-03-10,11.97,PLN
2022-03-11,12.17,PLN
2022-03-14,11.95,PLN
2022-03-15,12.04,PLN
2022-03-16,12.27,PLN
2022-03-17,12.47,PLN
2022-03-18,12.48,PLN
2022-03-21,12.47,PLN
2022-03-22,12.57,PLN
2022-03-23,12.56,PLN
2022-03-24,12.62,PLN
2022-03-25,12.59,PLN
2022-03-28,12.59,PLN
2022-03-29,12.71,PLN
2022-03-30,12.74,PLN
2022-03-31,12.64,PLN
2022-04-01,12.67,PLN
2022-04-04,12.70,PLN
2022-04-05,12.62,PLN
2022-04-06,12.49,PLN
2022-04-07,12.39,PLN
2022-04-08,12.43,PLN
2022-04-11,12.46,PLN
2022-04-12,12.44,PLN
2022-04-13,12.46,PLN
2022-04-14,12.45,PLN
2022-04-19,12.37,PLN
2022-04-20,12.34,PLN
2022-04-21,12.30,PLN
2022-04-22,12.05,PLN
2022-04-25,11.86,PLN
2022-04-26,11.79,PLN
2022-04-27,11.77,PLN
2022-04-28,11.79,PLN
2022-04-29,11.76,PLN
2022-05-02,11.58,PLN
2022-05-04,11.55,PLN
2022-05-05,11.46,PLN
2022-05-06,11.38,PLN
2022-05-09,11.18,PLN
2022-05-10,11.13,PLN
2022-05-11,11.16,PLN
2022-05-12,11.04,PLN
2022-05-13,11.33,PLN
2022-05-16,11.33,PLN
2022-05-17,11.43,PLN
2022-05-18,11.40,PLN
2022-05-19,11.28,PLN
2022-05-20,11.30,PLN
2022-05-23,11.48,PLN
2022-05-24,11.36,PLN
2022-05-25,11.36,PLN
2022-05-26,11.46,PLN
2022-05-27,11.49,PLN
2022-05-30,11.63,PLN
2022-05-31,11.56,PLN
2022-06-01,11.52,PLN
2022-06-02,11.55,PLN
2022-06-03,11.53,PLN
2022-06-06,11.62,PLN
2022-06-07,11.57,PLN
2022-06-08,11.47,PLN
2022-06-09,11.39,PLN
2022-06-10,11.15,PLN
2022-06-13,10.89,PLN
2022-06-14,10.90,PLN
2022-06-15,10.91,PLN
2022-06-17,10.77,PLN
2022-06-20,10.79,PLN
2022-06-21,10.97,PLN
2022-06-22,10.88,PLN
2022-06-23,10.85,PLN
2022-06-24,10.98,PLN
2022-06-27,11.06,PLN
2022-06-28,11.13,PLN
2022-06-29,11.13,PLN
2022-06-30,11.00,PLN
2022-07-01,11.06,PLN
2022-07-04,11.05,PLN
2022-07-05,10.91,PLN
2022-07-06,10.95,PLN
2022-07-07,11.16,PLN
2022-07-08,11.25,PLN
2022-07-11,11.19,PLN
2022-07-12,11.04,PLN
2022-07-13,10.96,PLN
2022-07-14,10.83,PLN
2022-07-15,10.93,PLN
2022-07-18,11.08,PLN
2022-07-19,11.13,PLN
2022-07-20,11.23,PLN
2022-07-21,11.24,PLN
2022-07-22,11.33,PLN
2022-07-25,11.28,PLN
2022-07-26,11.22,PLN
2022-07-27,11.24,PLN
2022-07-28,11.33,PLN
2022-07-29,11.53,PLN
2022-08-01,11.57,PLN
2022-08-02,11.50,PLN
2022-08-03,11.52,PLN
2022-08-04,11.47,PLN
2022-08-05,11.42,PLN
2022-08-08,11.53,PLN
2022-08-09,11.47,PLN
2022-08-10,11.54,PLN
2022-08-11,11.65,PLN
2022-08-12,11.72,PLN
2022-08-16,11.75,PLN
2022-08-17,11.58,PLN
2022-08-18,11.65,PLN
2022-08-19,11.52,PLN
2022-08-22,11.37,PLN
2022-08-23,11.34,PLN
2022-08-24,11.25,PLN
2022-08-25,11.32,PLN
2022-08-26,11.19,PLN
2022-08-29,11.01,PLN
2022-08-30,10.89,PLN
2022-08-31,10.86,PLN
2022-09-01,10.68,PLN
2022-09-02,10.86,PLN
2022-09-05,10.79,PLN
2022-09-06,10.68,PLN
2022-09-07,10.75,PLN
2022-09-08,10.84,PLN
2022-09-09,11.04,PLN
2022-09-12,11.14,PLN
2022-09-13,10.94,PLN
2022-09-14,10.91,PLN
2022-09-15,10.91,PLN
2022-09-16,10.71,PLN
2022-09-19,10.81,PLN
2022-09-20,10.74,PLN
2022-09-21,10.78,PLN
2022-09-22,10.74,PLN
2022-09-23,10.50,PLN
2022-09-26,10.40,PLN
2022-09-27,10.44,PLN
2022-09-28,10.39,PLN
2022-09-29,10.16,PLN
2022-09-30,10.21,PLN
2022-10-03,10.21,PLN
2022-10-04,10.46,PLN
2022-10-05,10.37,PLN
2022-10-06,10.41,PLN
2022-10-07,10.29,PLN
2022-10-10,10.16,PLN
2022-10-11,10.14,PLN
2022-10-12,10.08,PLN
2022-10-13,10.05,PLN
2022-10-14,10.16,PLN
2022-10-17,10.21,PLN
2022-10-18,10.26,PLN
2022-10-19,10.15,PLN
2022-10-20,10.22,PLN
2022-10-21,10.13,PLN
2022-10-24,10.27,PLN
2022-10-25,10.36,PLN
2022-10-26,10.53,PLN
2022-10-27,10.57,PLN
2022-10-28,10.56,PLN
2022-10-31,10.66,PLN
2022-11-02,10.76,PLN
2022-11-03,10.65,PLN
2022-11-04,10.78,PLN
2022-11-07,10.87,PLN
2022-11-08,10.98,PLN
