Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2022-11-25,210.15,PLN
2022-11-28,208.94,PLN
2022-11-29,209.33,PLN
2022-11-30,210.38,PLN
2022-12-01,211.13,PLN
2022-12-02,210.74,PLN
2022-12-05,209.98,PLN
2022-12-06,209.30,PLN
2022-12-07,208.01,PLN
2022-12-08,207.82,PLN
2022-12-09,209.56,PLN
2022-12-12,208.39,PLN
2022-12-13,210.63,PLN
2022-12-14,210.39,PLN
2022-12-15,205.06,PLN
2022-12-16,203.73,PLN
2022-12-19,204.55,PLN
2022-12-20,204.34,PLN
2022-12-21,207.38,PLN
2022-12-22,205.87,PLN
2022-12-23,205.87,PLN
2022-12-27,206.16,PLN
2022-12-28,205.84,PLN
2022-12-29,207.26,PLN
2022-12-30,204.79,PLN
2023-01-02,206.90,PLN
2023-01-03,209.60,PLN
2023-01-04,212.25,PLN
2023-01-05,212.21,PLN
2023-01-09,215.64,PLN
2023-01-10,214.54,PLN
2023-01-11,215.30,PLN
2023-01-12,216.95,PLN
2023-01-13,217.78,PLN
2023-01-16,218.48,PLN
2023-01-17,219.08,PLN
2023-01-18,219.13,PLN
2023-01-19,216.59,PLN
2023-01-20,216.93,PLN
2023-01-23,217.71,PLN
2023-01-24,217.41,PLN
2023-01-25,217.36,PLN
2023-01-26,217.64,PLN
