Data,Wartość dla NN (L) Japonia (A),Waluta
2022-11-28,252.87,PLN
2022-11-29,251.13,PLN
2022-11-30,251.68,PLN
2022-12-01,250.04,PLN
2022-12-02,245.32,PLN
2022-12-05,244.43,PLN
2022-12-06,244.63,PLN
2022-12-07,245.49,PLN
2022-12-08,246.05,PLN
2022-12-09,248.19,PLN
2022-12-12,247.55,PLN
2022-12-13,250.79,PLN
2022-12-14,250.06,PLN
2022-12-15,249.13,PLN
2022-12-16,248.23,PLN
2022-12-19,247.34,PLN
2022-12-20,244.60,PLN
2022-12-21,243.52,PLN
2022-12-22,243.88,PLN
2022-12-23,244.25,PLN
2022-12-27,245.28,PLN
2022-12-28,246.73,PLN
2022-12-29,246.59,PLN
2022-12-30,244.01,PLN
2023-01-02,243.97,PLN
2023-01-03,243.96,PLN
2023-01-04,242.70,PLN
2023-01-05,241.89,PLN
2023-01-09,243.84,PLN
2023-01-10,244.08,PLN
2023-01-11,246.24,PLN
2023-01-12,245.11,PLN
2023-01-13,245.25,PLN
2023-01-16,244.28,PLN
2023-01-17,246.77,PLN
2023-01-18,248.53,PLN
2023-01-19,246.52,PLN
2023-01-20,250.36,PLN
2023-01-23,251.61,PLN
2023-01-24,253.19,PLN
2023-01-25,254.13,PLN
2023-01-26,255.48,PLN
