Data,Wartość dla NN (L) Indeks Surowców (dawniej NN (L) Nowej Azji) (A),Waluta
2022-11-25,233.70,PLN
2022-11-28,232.71,PLN
2022-11-29,234.40,PLN
2022-11-30,236.16,PLN
2022-12-01,236.23,PLN
2022-12-02,235.36,PLN
2022-12-05,227.45,PLN
2022-12-06,225.09,PLN
2022-12-07,226.76,PLN
2022-12-08,227.70,PLN
2022-12-09,229.11,PLN
2022-12-12,231.05,PLN
2022-12-13,235.36,PLN
2022-12-14,234.52,PLN
2022-12-15,232.89,PLN
2022-12-16,231.05,PLN
2022-12-19,229.03,PLN
2022-12-20,229.47,PLN
2022-12-21,231.54,PLN
2022-12-22,227.80,PLN
2022-12-23,230.45,PLN
2022-12-27,232.03,PLN
2022-12-28,231.01,PLN
2022-12-29,230.79,PLN
2022-12-30,231.83,PLN
2023-01-02,231.80,PLN
2023-01-03,227.31,PLN
2023-01-04,224.08,PLN
2023-01-05,221.49,PLN
2023-01-09,225.47,PLN
2023-01-10,224.19,PLN
2023-01-11,226.03,PLN
2023-01-12,228.64,PLN
2023-01-13,229.94,PLN
2023-01-16,229.92,PLN
2023-01-17,230.56,PLN
2023-01-18,229.72,PLN
2023-01-19,230.39,PLN
2023-01-20,230.85,PLN
2023-01-23,231.52,PLN
2023-01-24,230.52,PLN
2023-01-25,230.18,PLN
2023-01-26,231.30,PLN
