Data,Wartość dla NN (L) Globalny Spółek Dywidendowych (A),Waluta
2022-01-26,297.02,PLN
2022-01-27,299.60,PLN
2022-01-28,300.46,PLN
2022-01-31,301.20,PLN
2022-02-01,302.95,PLN
2022-02-02,303.69,PLN
2022-02-03,298.52,PLN
2022-02-04,296.70,PLN
2022-02-07,297.52,PLN
2022-02-08,300.37,PLN
2022-02-09,302.88,PLN
2022-02-10,300.08,PLN
2022-02-11,300.11,PLN
2022-02-14,298.01,PLN
2022-02-15,300.09,PLN
2022-02-16,300.61,PLN
2022-02-17,297.81,PLN
2022-02-18,297.28,PLN
2022-02-21,297.24,PLN
2022-02-22,295.24,PLN
2022-02-23,293.46,PLN
2022-02-24,291.17,PLN
2022-02-25,297.99,PLN
2022-02-28,296.02,PLN
2022-03-01,291.50,PLN
2022-03-02,297.10,PLN
2022-03-03,296.61,PLN
2022-03-04,296.01,PLN
2022-03-07,292.19,PLN
2022-03-08,290.43,PLN
2022-03-09,293.28,PLN
2022-03-10,292.67,PLN
2022-03-11,293.01,PLN
2022-03-14,294.51,PLN
2022-03-15,295.90,PLN
2022-03-16,299.85,PLN
2022-03-17,300.28,PLN
2022-03-18,301.55,PLN
2022-03-21,301.98,PLN
2022-03-22,304.53,PLN
2022-03-23,302.44,PLN
2022-03-24,303.77,PLN
2022-03-25,306.61,PLN
2022-03-28,306.38,PLN
2022-03-29,307.21,PLN
2022-03-30,304.76,PLN
2022-03-31,301.93,PLN
2022-04-01,304.96,PLN
2022-04-04,306.31,PLN
2022-04-05,306.14,PLN
2022-04-06,305.36,PLN
2022-04-07,305.66,PLN
2022-04-08,309.29,PLN
2022-04-11,306.77,PLN
2022-04-12,306.16,PLN
2022-04-13,307.50,PLN
2022-04-14,308.21,PLN
2022-04-19,309.22,PLN
2022-04-20,311.19,PLN
2022-04-21,311.40,PLN
2022-04-22,305.99,PLN
2022-04-25,306.56,PLN
2022-04-26,304.06,PLN
2022-04-27,306.79,PLN
2022-04-28,310.29,PLN
2022-04-29,304.76,PLN
2022-05-02,304.13,PLN
2022-05-04,310.45,PLN
