Data,Wartość dla NN Perspektywa 2020 (A),Waluta
2022-01-26,132.68,PLN
2022-01-27,132.60,PLN
2022-01-28,132.52,PLN
2022-01-31,132.53,PLN
2022-02-01,132.66,PLN
2022-02-02,132.78,PLN
2022-02-03,132.75,PLN
2022-02-04,132.63,PLN
2022-02-07,132.63,PLN
2022-02-08,132.63,PLN
2022-02-09,132.59,PLN
2022-02-10,132.51,PLN
2022-02-11,132.37,PLN
2022-02-14,132.02,PLN
2022-02-15,132.30,PLN
2022-02-16,132.52,PLN
2022-02-17,132.57,PLN
2022-02-18,132.54,PLN
2022-02-21,132.59,PLN
2022-02-22,132.39,PLN
2022-02-23,132.26,PLN
2022-02-24,131.69,PLN
2022-02-25,131.89,PLN
2022-02-28,131.74,PLN
2022-03-01,131.65,PLN
2022-03-02,131.53,PLN
2022-03-03,131.39,PLN
2022-03-04,130.78,PLN
2022-03-07,129.85,PLN
2022-03-08,129.85,PLN
2022-03-09,129.66,PLN
2022-03-10,129.59,PLN
2022-03-11,129.32,PLN
2022-03-14,128.94,PLN
2022-03-15,129.19,PLN
2022-03-16,129.48,PLN
2022-03-17,129.67,PLN
2022-03-18,129.88,PLN
2022-03-21,129.64,PLN
2022-03-22,129.36,PLN
2022-03-23,129.20,PLN
2022-03-24,128.97,PLN
2022-03-25,129.11,PLN
2022-03-28,129.02,PLN
2022-03-29,129.28,PLN
2022-03-30,129.65,PLN
2022-03-31,129.72,PLN
2022-04-01,129.64,PLN
2022-04-04,129.52,PLN
2022-04-05,129.29,PLN
2022-04-06,128.98,PLN
2022-04-07,128.52,PLN
2022-04-08,128.01,PLN
2022-04-11,127.72,PLN
2022-04-12,127.86,PLN
2022-04-13,128.32,PLN
2022-04-14,128.19,PLN
2022-04-19,127.73,PLN
2022-04-20,128.01,PLN
2022-04-21,127.85,PLN
2022-04-22,127.66,PLN
2022-04-25,127.63,PLN
2022-04-26,127.94,PLN
2022-04-27,127.68,PLN
2022-04-28,127.48,PLN
2022-04-29,127.25,PLN
2022-05-02,127.06,PLN
2022-05-04,126.75,PLN
2022-05-05,126.78,PLN
2022-05-06,126.64,PLN
2022-05-09,126.02,PLN
2022-05-10,125.97,PLN
2022-05-11,126.07,PLN
2022-05-12,126.45,PLN
2022-05-13,126.43,PLN
2022-05-16,126.43,PLN
2022-05-17,127.00,PLN
2022-05-18,126.98,PLN
2022-05-19,127.06,PLN
2022-05-20,127.29,PLN
