Data,Wartość dla NN Obligacji (A),Waluta
2022-01-26,330.36,PLN
2022-01-27,329.61,PLN
2022-01-28,329.49,PLN
2022-01-31,328.97,PLN
2022-02-01,329.22,PLN
2022-02-02,329.74,PLN
2022-02-03,330.09,PLN
2022-02-04,331.40,PLN
2022-02-07,331.70,PLN
2022-02-08,332.01,PLN
2022-02-09,331.07,PLN
2022-02-10,330.73,PLN
2022-02-11,330.36,PLN
2022-02-14,329.16,PLN
2022-02-15,330.53,PLN
2022-02-16,331.08,PLN
2022-02-17,331.71,PLN
2022-02-18,332.08,PLN
2022-02-21,332.42,PLN
2022-02-22,331.54,PLN
2022-02-23,330.84,PLN
2022-02-24,328.89,PLN
2022-02-25,328.97,PLN
2022-02-28,327.69,PLN
2022-03-01,329.08,PLN
2022-03-02,328.06,PLN
2022-03-03,327.20,PLN
2022-03-04,323.89,PLN
2022-03-07,318.42,PLN
2022-03-08,318.81,PLN
2022-03-09,317.35,PLN
2022-03-10,315.03,PLN
2022-03-11,315.12,PLN
2022-03-14,313.36,PLN
2022-03-15,315.34,PLN
2022-03-16,317.50,PLN
2022-03-17,318.18,PLN
2022-03-18,318.50,PLN
2022-03-21,316.47,PLN
2022-03-22,314.58,PLN
2022-03-23,313.47,PLN
2022-03-24,311.49,PLN
2022-03-25,311.80,PLN
2022-03-28,310.89,PLN
2022-03-29,314.17,PLN
2022-03-30,314.16,PLN
2022-03-31,314.40,PLN
2022-04-01,313.81,PLN
2022-04-04,313.31,PLN
2022-04-05,312.42,PLN
2022-04-06,310.74,PLN
2022-04-07,308.06,PLN
2022-04-08,305.20,PLN
2022-04-11,303.70,PLN
2022-04-12,304.71,PLN
2022-04-13,308.10,PLN
2022-04-14,307.00,PLN
2022-04-19,304.11,PLN
2022-04-20,305.92,PLN
2022-04-21,304.86,PLN
2022-04-22,303.81,PLN
2022-04-25,304.86,PLN
2022-04-26,306.14,PLN
2022-04-27,305.23,PLN
2022-04-28,303.96,PLN
2022-04-29,302.98,PLN
2022-05-02,302.12,PLN
2022-05-04,300.61,PLN
2022-05-05,301.16,PLN
2022-05-06,298.69,PLN
2022-05-09,297.30,PLN
2022-05-10,297.54,PLN
2022-05-11,297.72,PLN
2022-05-12,300.77,PLN
2022-05-13,299.97,PLN
2022-05-16,301.52,PLN
2022-05-17,302.58,PLN
2022-05-18,302.50,PLN
2022-05-19,303.57,PLN
2022-05-20,304.41,PLN
2022-05-23,303.99,PLN
2022-05-24,304.28,PLN
2022-05-25,303.79,PLN
2022-05-26,302.72,PLN
2022-05-27,302.16,PLN
2022-05-30,302.34,PLN
2022-05-31,301.96,PLN
2022-06-01,302.39,PLN
2022-06-02,301.26,PLN
2022-06-03,300.60,PLN
2022-06-06,301.16,PLN
2022-06-07,300.96,PLN
2022-06-08,299.94,PLN
2022-06-09,298.55,PLN
2022-06-10,295.85,PLN
2022-06-13,291.38,PLN
2022-06-14,290.32,PLN
2022-06-15,288.84,PLN
2022-06-17,288.23,PLN
2022-06-20,285.98,PLN
2022-06-21,289.57,PLN
2022-06-22,295.07,PLN
2022-06-23,299.13,PLN
2022-06-24,298.19,PLN
2022-06-27,294.60,PLN
2022-06-28,295.48,PLN
2022-06-29,296.89,PLN
2022-06-30,299.14,PLN
2022-07-01,303.77,PLN
2022-07-04,302.85,PLN
2022-07-05,300.99,PLN
2022-07-06,300.92,PLN
2022-07-07,300.53,PLN
2022-07-08,302.13,PLN
2022-07-11,303.59,PLN
2022-07-12,301.97,PLN
2022-07-13,300.38,PLN
2022-07-14,299.83,PLN
2022-07-15,301.77,PLN
2022-07-18,302.15,PLN
2022-07-19,303.00,PLN
2022-07-20,303.97,PLN
2022-07-21,308.21,PLN
2022-07-22,311.72,PLN
2022-07-25,312.35,PLN
2022-07-26,314.06,PLN
2022-07-27,313.00,PLN
2022-07-28,312.81,PLN
2022-07-29,315.22,PLN
2022-08-01,316.81,PLN
2022-08-02,314.54,PLN
2022-08-03,312.01,PLN
2022-08-04,314.21,PLN
2022-08-05,315.80,PLN
2022-08-08,316.31,PLN
2022-08-09,315.32,PLN
2022-08-10,316.87,PLN
2022-08-11,317.44,PLN
2022-08-12,318.08,PLN
2022-08-16,316.41,PLN
2022-08-17,314.31,PLN
2022-08-18,313.14,PLN
2022-08-19,311.69,PLN
2022-08-22,310.44,PLN
2022-08-23,308.74,PLN
2022-08-24,307.86,PLN
2022-08-25,308.92,PLN
2022-08-26,308.33,PLN
2022-08-29,307.28,PLN
2022-08-30,309.45,PLN
2022-08-31,309.18,PLN
2022-09-01,309.38,PLN
2022-09-02,311.00,PLN
2022-09-05,310.33,PLN
2022-09-06,310.20,PLN
2022-09-07,311.35,PLN
2022-09-08,312.32,PLN
2022-09-09,312.82,PLN
2022-09-12,314.74,PLN
2022-09-13,314.75,PLN
2022-09-14,312.60,PLN
2022-09-15,311.31,PLN
2022-09-16,311.56,PLN
2022-09-19,311.48,PLN
2022-09-20,311.50,PLN
2022-09-21,312.07,PLN
2022-09-22,311.06,PLN
2022-09-23,308.78,PLN
2022-09-26,305.13,PLN
2022-09-27,304.64,PLN
2022-09-28,303.13,PLN
2022-09-29,300.36,PLN
2022-09-30,301.16,PLN
2022-10-03,302.38,PLN
2022-10-04,303.64,PLN
2022-10-05,302.10,PLN
2022-10-06,301.43,PLN
2022-10-07,299.93,PLN
2022-10-10,298.92,PLN
2022-10-11,295.46,PLN
2022-10-12,292.04,PLN
2022-10-13,294.88,PLN
2022-10-14,295.27,PLN
2022-10-17,293.02,PLN
2022-10-18,290.57,PLN
2022-10-19,288.47,PLN
2022-10-20,286.22,PLN
2022-10-21,284.90,PLN
2022-10-24,288.46,PLN
2022-10-25,291.78,PLN
2022-10-26,293.18,PLN
2022-10-27,292.78,PLN
2022-10-28,291.25,PLN
2022-10-31,289.05,PLN
2022-11-02,290.48,PLN
2022-11-03,290.59,PLN
2022-11-04,292.17,PLN
2022-11-07,294.20,PLN
2022-11-08,296.19,PLN
2022-11-09,298.00,PLN
2022-11-10,304.58,PLN
2022-11-14,304.76,PLN
2022-11-15,307.90,PLN
2022-11-16,305.59,PLN
2022-11-17,303.41,PLN
2022-11-18,304.40,PLN
2022-11-21,304.52,PLN
2022-11-22,306.67,PLN
2022-11-23,306.72,PLN
2022-11-24,308.66,PLN
2022-11-25,306.20,PLN
2022-11-28,307.35,PLN
2022-11-29,308.67,PLN
2022-11-30,310.23,PLN
2022-12-01,312.54,PLN
2022-12-02,312.66,PLN
2022-12-05,309.86,PLN
2022-12-06,310.48,PLN
2022-12-07,312.06,PLN
2022-12-08,313.03,PLN
2022-12-09,313.25,PLN
2022-12-12,312.20,PLN
2022-12-13,313.88,PLN
2022-12-14,315.23,PLN
2022-12-15,314.67,PLN
2022-12-16,312.82,PLN
2022-12-19,311.80,PLN
2022-12-20,312.74,PLN
2022-12-21,314.28,PLN
2022-12-22,313.66,PLN
2022-12-23,313.29,PLN
2022-12-27,313.22,PLN
2022-12-28,313.55,PLN
2022-12-29,312.29,PLN
2022-12-30,312.93,PLN
2023-01-02,314.17,PLN
2023-01-03,316.63,PLN
2023-01-04,319.81,PLN
2023-01-05,322.72,PLN
2023-01-09,327.97,PLN
2023-01-10,325.13,PLN
2023-01-11,326.67,PLN
2023-01-12,327.40,PLN
2023-01-13,325.91,PLN
2023-01-16,325.60,PLN
2023-01-17,325.97,PLN
2023-01-18,328.12,PLN
2023-01-19,327.06,PLN
2023-01-20,326.40,PLN
2023-01-23,325.92,PLN
2023-01-24,326.85,PLN
2023-01-25,328.14,PLN
2023-01-26,328.93,PLN
