Data,Wartość dla NN (L) Globalny Odpowiedzialnego Inwestowania (A),Waluta
2022-11-25,85.84,PLN
2022-11-28,84.58,PLN
2022-11-29,83.80,PLN
2022-11-30,86.58,PLN
2022-12-01,86.38,PLN
2022-12-02,86.57,PLN
2022-12-05,85.30,PLN
2022-12-06,84.16,PLN
2022-12-07,83.99,PLN
2022-12-08,84.79,PLN
2022-12-09,85.10,PLN
2022-12-12,85.69,PLN
2022-12-13,87.03,PLN
2022-12-14,86.45,PLN
2022-12-15,83.58,PLN
2022-12-16,82.41,PLN
2022-12-19,82.16,PLN
2022-12-20,81.77,PLN
2022-12-21,83.05,PLN
2022-12-22,81.67,PLN
2022-12-23,81.62,PLN
2022-12-27,81.13,PLN
2022-12-28,80.76,PLN
2022-12-29,82.03,PLN
2022-12-30,81.47,PLN
2023-01-02,81.46,PLN
2023-01-03,82.46,PLN
2023-01-04,82.99,PLN
2023-01-05,82.04,PLN
2023-01-09,82.74,PLN
2023-01-10,83.07,PLN
2023-01-11,83.96,PLN
2023-01-12,84.03,PLN
2023-01-13,84.36,PLN
2023-01-16,84.35,PLN
2023-01-17,84.50,PLN
2023-01-18,84.16,PLN
2023-01-19,82.70,PLN
2023-01-20,83.59,PLN
2023-01-23,84.75,PLN
2023-01-24,84.35,PLN
2023-01-25,83.25,PLN
2023-01-26,84.25,PLN
