Data,Wartość dla NN (L) Konserwatywny Plus (A),Waluta
2022-11-28,120.14,PLN
2022-11-29,120.15,PLN
2022-11-30,120.17,PLN
2022-12-01,120.23,PLN
2022-12-02,120.32,PLN
2022-12-05,120.41,PLN
2022-12-06,120.44,PLN
2022-12-07,120.52,PLN
2022-12-08,120.62,PLN
2022-12-09,120.75,PLN
2022-12-12,120.89,PLN
2022-12-13,121.01,PLN
2022-12-14,121.14,PLN
2022-12-15,121.10,PLN
2022-12-16,121.18,PLN
2022-12-19,121.22,PLN
2022-12-20,121.31,PLN
2022-12-21,121.41,PLN
2022-12-22,121.52,PLN
2022-12-23,121.55,PLN
2022-12-27,121.64,PLN
2022-12-28,121.68,PLN
2022-12-29,121.58,PLN
2022-12-30,121.67,PLN
2023-01-02,121.84,PLN
2023-01-03,122.04,PLN
2023-01-04,122.14,PLN
2023-01-05,122.15,PLN
2023-01-09,122.29,PLN
2023-01-10,122.31,PLN
2023-01-11,122.50,PLN
2023-01-12,122.55,PLN
2023-01-13,122.53,PLN
2023-01-16,122.62,PLN
2023-01-17,122.74,PLN
2023-01-18,122.80,PLN
2023-01-19,122.82,PLN
2023-01-20,122.81,PLN
2023-01-23,122.86,PLN
2023-01-24,122.91,PLN
2023-01-25,122.95,PLN
2023-01-26,122.99,PLN
