Data,Wartość dla NN Polski Odpowiedzialnego Inwestowania (A),Waluta
2022-11-25,162.79,PLN
2022-11-28,161.40,PLN
2022-11-29,161.54,PLN
2022-11-30,162.06,PLN
2022-12-01,164.24,PLN
2022-12-02,162.77,PLN
2022-12-05,163.05,PLN
2022-12-06,161.69,PLN
2022-12-07,161.55,PLN
2022-12-08,160.64,PLN
2022-12-09,161.38,PLN
2022-12-12,163.28,PLN
2022-12-13,165.58,PLN
2022-12-14,166.06,PLN
2022-12-15,163.08,PLN
2022-12-16,162.07,PLN
2022-12-19,162.34,PLN
2022-12-20,163.48,PLN
2022-12-21,165.08,PLN
2022-12-22,164.54,PLN
2022-12-23,164.36,PLN
2022-12-27,163.04,PLN
2022-12-28,163.07,PLN
2022-12-29,165.63,PLN
2022-12-30,165.01,PLN
2023-01-02,165.50,PLN
2023-01-03,168.52,PLN
2023-01-04,170.76,PLN
2023-01-05,170.61,PLN
2023-01-09,174.78,PLN
2023-01-10,176.10,PLN
2023-01-11,174.31,PLN
2023-01-12,175.26,PLN
2023-01-13,174.71,PLN
2023-01-16,176.14,PLN
2023-01-17,173.92,PLN
2023-01-18,174.05,PLN
2023-01-19,172.41,PLN
2023-01-20,173.33,PLN
2023-01-23,175.36,PLN
2023-01-24,174.79,PLN
2023-01-25,172.08,PLN
2023-01-26,174.11,PLN
