Data,Wartość dla NN (L) Stabilny Globalnej Dywersyfikacji (dawniej NN (L) Stabilny Globalnej Alokacji) (A),Waluta
2022-11-23,121.63,PLN
2022-11-24,121.91,PLN
2022-11-25,121.84,PLN
2022-11-28,121.80,PLN
2022-11-29,121.89,PLN
2022-11-30,122.18,PLN
2022-12-01,122.70,PLN
2022-12-02,122.67,PLN
2022-12-05,122.32,PLN
2022-12-06,122.19,PLN
2022-12-07,122.34,PLN
2022-12-08,122.50,PLN
2022-12-09,122.66,PLN
2022-12-12,122.67,PLN
2022-12-13,123.13,PLN
2022-12-14,123.21,PLN
2022-12-15,122.81,PLN
2022-12-16,122.80,PLN
2022-12-19,122.75,PLN
2022-12-20,122.82,PLN
2022-12-21,123.04,PLN
2022-12-22,122.93,PLN
2022-12-23,122.89,PLN
2022-12-27,122.98,PLN
2022-12-28,122.97,PLN
2022-12-29,123.07,PLN
2022-12-30,123.06,PLN
2023-01-02,123.15,PLN
2023-01-03,123.54,PLN
2023-01-04,123.86,PLN
2023-01-05,123.74,PLN
2023-01-09,124.40,PLN
2023-01-10,124.50,PLN
2023-01-11,124.80,PLN
2023-01-12,125.07,PLN
2023-01-13,125.14,PLN
2023-01-16,125.25,PLN
2023-01-17,125.37,PLN
2023-01-18,125.52,PLN
2023-01-19,125.30,PLN
2023-01-20,125.43,PLN
2023-01-23,125.64,PLN
2023-01-24,125.79,PLN
2023-01-25,125.78,PLN
2023-01-26,126.01,PLN
