Data,Wartość dla NN (L) Globalny Długu Korporacyjnego (A),Waluta
2021-12-20,199.22,PLN
2021-12-21,199.65,PLN
2021-12-22,200.02,PLN
2021-12-23,200.20,PLN
2021-12-27,200.45,PLN
2021-12-28,200.55,PLN
2021-12-29,200.55,PLN
2021-12-30,201.13,PLN
2022-01-03,200.50,PLN
2022-01-04,200.42,PLN
2022-01-05,200.21,PLN
2022-01-07,199.35,PLN
2022-01-10,198.94,PLN
2022-01-11,199.34,PLN
2022-01-12,199.53,PLN
2022-01-13,199.45,PLN
2022-01-14,199.45,PLN
2022-01-17,199.03,PLN
2022-01-18,198.29,PLN
2022-01-19,198.31,PLN
2022-01-20,198.37,PLN
2022-01-21,197.96,PLN
2022-01-24,197.31,PLN
2022-01-25,197.09,PLN
2022-01-26,197.03,PLN
2022-01-27,196.54,PLN
2022-01-28,195.73,PLN
2022-01-31,195.58,PLN
2022-02-01,196.19,PLN
2022-02-02,196.65,PLN
2022-02-03,195.89,PLN
2022-02-04,194.37,PLN
2022-02-07,193.81,PLN
2022-02-08,193.97,PLN
2022-02-09,194.69,PLN
2022-02-10,193.89,PLN
2022-02-11,192.95,PLN
2022-02-14,191.99,PLN
2022-02-15,192.28,PLN
2022-02-16,192.54,PLN
2022-02-17,192.49,PLN
2022-02-18,192.37,PLN
2022-02-21,192.29,PLN
