Data,Wartość dla NN Obligacji (A),Waluta
2021-12-21,331.43,PLN
2021-12-22,330.44,PLN
2021-12-23,330.23,PLN
2021-12-27,330.05,PLN
2021-12-28,329.95,PLN
2021-12-29,328.35,PLN
2021-12-30,328.20,PLN
2022-01-03,331.04,PLN
2022-01-04,329.62,PLN
2022-01-05,330.11,PLN
2022-01-07,328.56,PLN
2022-01-10,328.23,PLN
2022-01-11,328.64,PLN
2022-01-12,329.39,PLN
2022-01-13,329.87,PLN
2022-01-14,329.37,PLN
2022-01-17,329.03,PLN
2022-01-18,328.73,PLN
2022-01-19,329.45,PLN
2022-01-20,330.07,PLN
2022-01-21,331.02,PLN
2022-01-24,329.98,PLN
2022-01-25,330.60,PLN
2022-01-26,330.36,PLN
2022-01-27,329.61,PLN
2022-01-28,329.49,PLN
2022-01-31,328.97,PLN
2022-02-01,329.22,PLN
2022-02-02,329.74,PLN
2022-02-03,330.09,PLN
2022-02-04,331.40,PLN
2022-02-07,331.70,PLN
2022-02-08,332.01,PLN
2022-02-09,331.07,PLN
2022-02-10,330.73,PLN
2022-02-11,330.36,PLN
2022-02-14,329.16,PLN
2022-02-15,330.53,PLN
2022-02-16,331.08,PLN
2022-02-17,331.71,PLN
2022-02-18,332.08,PLN
2022-02-21,332.42,PLN
