Data,Wartość dla NN Emerytura 2040 (A),Waluta
2022-01-26,11.95,PLN
2022-01-27,11.95,PLN
2022-01-28,11.82,PLN
2022-01-31,11.91,PLN
2022-02-01,12.01,PLN
2022-02-02,12.09,PLN
2022-02-03,12.01,PLN
2022-02-04,11.92,PLN
2022-02-07,11.94,PLN
2022-02-08,12.01,PLN
2022-02-09,12.07,PLN
2022-02-10,12.01,PLN
2022-02-11,11.96,PLN
2022-02-14,11.81,PLN
2022-02-15,11.94,PLN
2022-02-16,11.94,PLN
2022-02-17,11.85,PLN
2022-02-18,11.78,PLN
2022-02-21,11.61,PLN
2022-02-22,11.66,PLN
2022-02-23,11.54,PLN
2022-02-24,10.97,PLN
2022-02-25,11.41,PLN
2022-02-28,11.45,PLN
2022-03-01,11.37,PLN
2022-03-02,11.56,PLN
2022-03-03,11.48,PLN
2022-03-04,11.22,PLN
2022-03-07,11.15,PLN
2022-03-08,11.05,PLN
2022-03-09,11.21,PLN
2022-03-10,11.16,PLN
2022-03-11,11.30,PLN
2022-03-14,11.13,PLN
2022-03-15,11.20,PLN
2022-03-16,11.37,PLN
2022-03-17,11.53,PLN
2022-03-18,11.54,PLN
2022-03-21,11.52,PLN
2022-03-22,11.59,PLN
2022-03-23,11.57,PLN
2022-03-24,11.61,PLN
2022-03-25,11.59,PLN
2022-03-28,11.58,PLN
2022-03-29,11.69,PLN
2022-03-30,11.71,PLN
2022-03-31,11.64,PLN
2022-04-01,11.66,PLN
2022-04-04,11.68,PLN
2022-04-05,11.62,PLN
2022-04-06,11.51,PLN
2022-04-07,11.43,PLN
2022-04-08,11.44,PLN
2022-04-11,11.46,PLN
2022-04-12,11.45,PLN
2022-04-13,11.48,PLN
2022-04-14,11.47,PLN
2022-04-19,11.41,PLN
2022-04-20,11.39,PLN
2022-04-21,11.36,PLN
2022-04-22,11.17,PLN
2022-04-25,11.02,PLN
2022-04-26,10.99,PLN
2022-04-27,10.96,PLN
2022-04-28,10.97,PLN
2022-04-29,10.94,PLN
2022-05-02,10.80,PLN
2022-05-04,10.77,PLN
2022-05-05,10.70,PLN
2022-05-06,10.63,PLN
2022-05-09,10.47,PLN
2022-05-10,10.44,PLN
2022-05-11,10.46,PLN
2022-05-12,10.39,PLN
2022-05-13,10.60,PLN
2022-05-16,10.62,PLN
2022-05-17,10.70,PLN
2022-05-18,10.68,PLN
2022-05-19,10.59,PLN
2022-05-20,10.60,PLN
2022-05-23,10.74,PLN
2022-05-24,10.65,PLN
2022-05-25,10.64,PLN
2022-05-26,10.72,PLN
2022-05-27,10.74,PLN
2022-05-30,10.85,PLN
2022-05-31,10.79,PLN
