Data,Wartość dla NN Średnich i Małych Spółek (A),Waluta
2022-11-28,248.12,PLN
2022-11-29,249.01,PLN
2022-11-30,251.31,PLN
2022-12-01,253.72,PLN
2022-12-02,255.12,PLN
2022-12-05,254.74,PLN
2022-12-06,250.93,PLN
2022-12-07,250.51,PLN
2022-12-08,250.03,PLN
2022-12-09,250.73,PLN
2022-12-12,252.28,PLN
2022-12-13,255.12,PLN
2022-12-14,255.33,PLN
2022-12-15,250.46,PLN
2022-12-16,249.49,PLN
2022-12-19,249.78,PLN
2022-12-20,250.94,PLN
2022-12-21,252.20,PLN
2022-12-22,250.79,PLN
2022-12-23,250.16,PLN
2022-12-27,247.81,PLN
2022-12-28,247.80,PLN
2022-12-29,250.97,PLN
2022-12-30,251.39,PLN
2023-01-02,253.77,PLN
2023-01-03,258.60,PLN
2023-01-04,262.22,PLN
2023-01-05,262.91,PLN
2023-01-09,266.65,PLN
2023-01-10,266.86,PLN
2023-01-11,264.76,PLN
2023-01-12,266.65,PLN
2023-01-13,266.34,PLN
2023-01-16,268.41,PLN
2023-01-17,266.22,PLN
2023-01-18,265.77,PLN
2023-01-19,264.32,PLN
2023-01-20,267.46,PLN
2023-01-23,269.87,PLN
2023-01-24,268.72,PLN
2023-01-25,265.19,PLN
2023-01-26,267.44,PLN
