Data,Wartość dla NN (L) Globalny Długu Korporacyjnego (A),Waluta
2022-01-26,197.03,PLN
2022-01-27,196.54,PLN
2022-01-28,195.73,PLN
2022-01-31,195.58,PLN
2022-02-01,196.19,PLN
2022-02-02,196.65,PLN
2022-02-03,195.89,PLN
2022-02-04,194.37,PLN
2022-02-07,193.81,PLN
2022-02-08,193.97,PLN
2022-02-09,194.69,PLN
2022-02-10,193.89,PLN
2022-02-11,192.95,PLN
2022-02-14,191.99,PLN
2022-02-15,192.28,PLN
2022-02-16,192.54,PLN
2022-02-17,192.49,PLN
2022-02-18,192.37,PLN
2022-02-21,192.29,PLN
2022-02-22,192.05,PLN
2022-02-23,192.27,PLN
2022-02-24,191.25,PLN
2022-02-25,192.71,PLN
2022-02-28,192.81,PLN
2022-03-01,192.91,PLN
2022-03-02,192.84,PLN
2022-03-03,192.78,PLN
2022-03-04,191.90,PLN
2022-03-07,189.97,PLN
2022-03-08,189.35,PLN
2022-03-09,188.72,PLN
2022-03-10,188.28,PLN
2022-03-11,188.53,PLN
2022-03-14,187.31,PLN
2022-03-15,186.89,PLN
2022-03-16,188.05,PLN
2022-03-17,189.37,PLN
2022-03-18,190.15,PLN
2022-03-21,189.62,PLN
2022-03-22,189.33,PLN
2022-03-23,189.39,PLN
2022-03-24,189.33,PLN
2022-03-25,189.21,PLN
2022-03-28,189.09,PLN
2022-03-29,190.30,PLN
2022-03-30,190.78,PLN
2022-03-31,191.00,PLN
2022-04-01,190.84,PLN
2022-04-04,191.27,PLN
2022-04-05,190.96,PLN
2022-04-06,190.49,PLN
2022-04-07,189.49,PLN
2022-04-08,189.06,PLN
2022-04-11,187.96,PLN
2022-04-12,187.90,PLN
2022-04-13,188.03,PLN
2022-04-14,187.97,PLN
2022-04-19,187.44,PLN
2022-04-20,187.69,PLN
2022-04-21,187.57,PLN
2022-04-22,187.06,PLN
2022-04-25,186.59,PLN
2022-04-26,186.27,PLN
2022-04-27,185.44,PLN
2022-04-28,185.13,PLN
2022-04-29,184.26,PLN
2022-05-02,183.38,PLN
2022-05-04,183.54,PLN
2022-05-05,183.26,PLN
2022-05-06,181.89,PLN
2022-05-09,180.35,PLN
2022-05-10,180.28,PLN
2022-05-11,180.68,PLN
2022-05-12,179.48,PLN
2022-05-13,180.23,PLN
2022-05-16,180.21,PLN
2022-05-17,180.44,PLN
2022-05-18,179.16,PLN
2022-05-19,179.05,PLN
2022-05-20,179.15,PLN
2022-05-23,178.77,PLN
2022-05-24,179.20,PLN
2022-05-25,180.11,PLN
2022-05-26,182.04,PLN
2022-05-27,182.99,PLN
2022-05-30,183.18,PLN
2022-05-31,182.83,PLN
2022-06-01,183.12,PLN
2022-06-02,183.31,PLN
2022-06-03,182.94,PLN
2022-06-06,182.73,PLN
2022-06-07,182.33,PLN
2022-06-08,182.15,PLN
2022-06-09,181.33,PLN
2022-06-10,179.70,PLN
2022-06-13,175.71,PLN
2022-06-14,175.02,PLN
2022-06-15,175.79,PLN
2022-06-17,174.19,PLN
2022-06-20,174.22,PLN
2022-06-21,174.35,PLN
2022-06-22,173.72,PLN
2022-06-23,173.65,PLN
2022-06-24,174.23,PLN
2022-06-27,174.24,PLN
2022-06-28,173.16,PLN
2022-06-29,171.79,PLN
2022-06-30,170.68,PLN
2022-07-01,170.79,PLN
2022-07-04,170.07,PLN
2022-07-05,170.46,PLN
2022-07-06,170.26,PLN
2022-07-07,171.46,PLN
2022-07-08,172.12,PLN
2022-07-11,172.25,PLN
2022-07-12,172.31,PLN
2022-07-13,172.35,PLN
2022-07-14,171.69,PLN
2022-07-15,171.56,PLN
2022-07-18,173.00,PLN
2022-07-19,173.81,PLN
2022-07-20,175.36,PLN
2022-07-21,175.92,PLN
2022-07-22,176.87,PLN
2022-07-25,177.34,PLN
2022-07-26,177.08,PLN
2022-07-27,177.35,PLN
2022-07-28,178.23,PLN
2022-07-29,179.41,PLN
2022-08-01,179.90,PLN
2022-08-02,180.23,PLN
2022-08-03,180.69,PLN
2022-08-04,181.38,PLN
2022-08-05,181.36,PLN
2022-08-08,182.48,PLN
2022-08-09,182.16,PLN
2022-08-10,182.15,PLN
2022-08-11,183.58,PLN
2022-08-12,183.16,PLN
2022-08-16,183.24,PLN
2022-08-17,182.43,PLN
2022-08-18,182.43,PLN
2022-08-19,182.43,PLN
2022-08-22,180.33,PLN
2022-08-23,179.82,PLN
2022-08-24,179.72,PLN
2022-08-25,179.84,PLN
2022-08-26,180.02,PLN
2022-08-29,179.51,PLN
2022-08-30,179.38,PLN
2022-08-31,177.59,PLN
2022-09-01,176.62,PLN
2022-09-02,177.10,PLN
2022-09-05,176.48,PLN
2022-09-06,176.75,PLN
2022-09-07,177.22,PLN
2022-09-08,178.19,PLN
2022-09-09,179.30,PLN
2022-09-12,180.02,PLN
2022-09-13,178.75,PLN
2022-09-14,178.22,PLN
2022-09-15,177.78,PLN
2022-09-16,176.78,PLN
2022-09-19,176.73,PLN
2022-09-20,177.20,PLN
2022-09-21,175.74,PLN
2022-09-22,175.09,PLN
2022-09-23,173.58,PLN
2022-09-26,171.59,PLN
2022-09-27,171.30,PLN
2022-09-28,170.96,PLN
2022-09-29,170.35,PLN
2022-09-30,170.52,PLN
2022-10-03,170.71,PLN
2022-10-04,173.38,PLN
2022-10-05,173.48,PLN
2022-10-06,173.73,PLN
2022-10-07,172.60,PLN
2022-10-10,172.63,PLN
2022-10-11,171.37,PLN
2022-10-12,170.92,PLN
2022-10-13,170.69,PLN
2022-10-14,171.10,PLN
2022-10-17,171.71,PLN
2022-10-18,172.47,PLN
2022-10-19,172.01,PLN
2022-10-20,171.87,PLN
2022-10-21,171.55,PLN
2022-10-24,172.02,PLN
2022-10-25,172.91,PLN
2022-10-26,173.68,PLN
2022-10-27,174.91,PLN
2022-10-28,176.61,PLN
2022-10-31,175.58,PLN
2022-11-02,175.69,PLN
2022-11-03,174.31,PLN
2022-11-04,174.98,PLN
2022-11-07,176.34,PLN
2022-11-08,175.41,PLN
2022-11-09,175.05,PLN
2022-11-10,177.24,PLN
2022-11-14,178.57,PLN
2022-11-15,180.12,PLN
2022-11-16,178.75,PLN
2022-11-17,178.35,PLN
2022-11-18,179.90,PLN
2022-11-21,178.67,PLN
2022-11-22,179.70,PLN
2022-11-23,180.56,PLN
2022-11-24,180.50,PLN
2022-11-25,181.07,PLN
2022-11-28,180.82,PLN
2022-11-29,180.61,PLN
2022-11-30,181.12,PLN
2022-12-01,182.32,PLN
2022-12-02,182.45,PLN
2022-12-05,182.42,PLN
2022-12-06,183.10,PLN
2022-12-07,182.14,PLN
2022-12-08,183.36,PLN
2022-12-09,183.76,PLN
2022-12-12,182.88,PLN
2022-12-13,184.11,PLN
2022-12-14,183.99,PLN
2022-12-15,183.47,PLN
2022-12-16,183.59,PLN
2022-12-19,182.29,PLN
2022-12-20,181.75,PLN
2022-12-21,182.03,PLN
2022-12-22,181.94,PLN
2022-12-23,181.92,PLN
2022-12-27,182.63,PLN
2022-12-28,180.93,PLN
2022-12-29,181.25,PLN
2022-12-30,182.23,PLN
2023-01-02,181.33,PLN
2023-01-03,182.48,PLN
2023-01-04,183.11,PLN
2023-01-05,182.77,PLN
2023-01-09,185.53,PLN
2023-01-10,185.39,PLN
2023-01-11,186.01,PLN
2023-01-12,186.97,PLN
2023-01-13,187.43,PLN
2023-01-16,188.54,PLN
2023-01-17,187.67,PLN
2023-01-18,189.30,PLN
2023-01-19,187.63,PLN
2023-01-20,186.99,PLN
2023-01-23,187.63,PLN
2023-01-24,187.31,PLN
2023-01-25,187.88,PLN
2023-01-26,188.36,PLN
