Data,Wartość dla NN Stabilnego Wzrostu (A),Waluta
2022-11-28,268.19,PLN
2022-11-29,268.77,PLN
2022-11-30,269.85,PLN
2022-12-01,272.26,PLN
2022-12-02,271.54,PLN
2022-12-05,270.40,PLN
2022-12-06,269.84,PLN
2022-12-07,270.45,PLN
2022-12-08,270.52,PLN
2022-12-09,271.02,PLN
2022-12-12,271.70,PLN
2022-12-13,273.86,PLN
2022-12-14,274.79,PLN
2022-12-15,272.93,PLN
2022-12-16,271.78,PLN
2022-12-19,271.44,PLN
2022-12-20,272.45,PLN
2022-12-21,273.97,PLN
2022-12-22,273.27,PLN
2022-12-23,273.03,PLN
2022-12-27,272.26,PLN
2022-12-28,272.37,PLN
2022-12-29,273.22,PLN
2022-12-30,273.28,PLN
2023-01-02,274.16,PLN
2023-01-03,276.96,PLN
2023-01-04,279.75,PLN
2023-01-05,281.05,PLN
2023-01-09,286.31,PLN
2023-01-10,285.88,PLN
2023-01-11,285.53,PLN
2023-01-12,286.49,PLN
2023-01-13,285.46,PLN
2023-01-16,285.92,PLN
2023-01-17,284.88,PLN
2023-01-18,286.09,PLN
2023-01-19,284.47,PLN
2023-01-20,284.56,PLN
2023-01-23,285.66,PLN
2023-01-24,285.79,PLN
2023-01-25,284.93,PLN
2023-01-26,286.51,PLN
