Data,Wartość dla NN Emerytura 2050 (A),Waluta
2022-01-26,12.10,PLN
2022-01-27,12.10,PLN
2022-01-28,11.94,PLN
2022-01-31,12.06,PLN
2022-02-01,12.17,PLN
2022-02-02,12.27,PLN
2022-02-03,12.16,PLN
2022-02-04,12.05,PLN
2022-02-07,12.06,PLN
2022-02-08,12.15,PLN
2022-02-09,12.23,PLN
2022-02-10,12.16,PLN
2022-02-11,12.10,PLN
2022-02-14,11.92,PLN
2022-02-15,12.07,PLN
2022-02-16,12.06,PLN
2022-02-17,11.94,PLN
2022-02-18,11.86,PLN
2022-02-21,11.65,PLN
2022-02-22,11.71,PLN
2022-02-23,11.56,PLN
2022-02-24,10.87,PLN
2022-02-25,11.42,PLN
2022-02-28,11.48,PLN
2022-03-01,11.37,PLN
2022-03-02,11.62,PLN
2022-03-03,11.52,PLN
2022-03-04,11.22,PLN
2022-03-07,11.17,PLN
2022-03-08,11.04,PLN
2022-03-09,11.24,PLN
2022-03-10,11.19,PLN
2022-03-11,11.36,PLN
2022-03-14,11.16,PLN
2022-03-15,11.25,PLN
2022-03-16,11.46,PLN
2022-03-17,11.64,PLN
2022-03-18,11.66,PLN
2022-03-21,11.65,PLN
2022-03-22,11.75,PLN
2022-03-23,11.73,PLN
2022-03-24,11.80,PLN
2022-03-25,11.76,PLN
2022-03-28,11.76,PLN
2022-03-29,11.88,PLN
2022-03-30,11.90,PLN
2022-03-31,11.81,PLN
2022-04-01,11.84,PLN
2022-04-04,11.87,PLN
2022-04-05,11.79,PLN
2022-04-06,11.68,PLN
2022-04-07,11.58,PLN
2022-04-08,11.62,PLN
2022-04-11,11.64,PLN
2022-04-12,11.63,PLN
2022-04-13,11.65,PLN
2022-04-14,11.64,PLN
2022-04-19,11.58,PLN
2022-04-20,11.55,PLN
2022-04-21,11.51,PLN
2022-04-22,11.28,PLN
2022-04-25,11.09,PLN
2022-04-26,11.03,PLN
2022-04-27,11.01,PLN
2022-04-28,11.03,PLN
2022-04-29,11.00,PLN
2022-05-02,10.83,PLN
2022-05-04,10.81,PLN
2022-05-05,10.72,PLN
2022-05-06,10.65,PLN
2022-05-09,10.46,PLN
2022-05-10,10.41,PLN
2022-05-11,10.44,PLN
2022-05-12,10.33,PLN
2022-05-13,10.60,PLN
2022-05-16,10.61,PLN
2022-05-17,10.70,PLN
2022-05-18,10.67,PLN
2022-05-19,10.56,PLN
2022-05-20,10.57,PLN
2022-05-23,10.74,PLN
2022-05-24,10.63,PLN
2022-05-25,10.62,PLN
2022-05-26,10.73,PLN
2022-05-27,10.75,PLN
2022-05-30,10.88,PLN
2022-05-31,10.82,PLN
2022-06-01,10.79,PLN
2022-06-02,10.81,PLN
2022-06-03,10.80,PLN
2022-06-06,10.88,PLN
2022-06-07,10.83,PLN
2022-06-08,10.74,PLN
2022-06-09,10.66,PLN
2022-06-10,10.45,PLN
2022-06-13,10.20,PLN
2022-06-14,10.22,PLN
2022-06-15,10.23,PLN
2022-06-17,10.09,PLN
2022-06-20,10.10,PLN
2022-06-21,10.28,PLN
2022-06-22,10.19,PLN
2022-06-23,10.16,PLN
2022-06-24,10.29,PLN
2022-06-27,10.37,PLN
2022-06-28,10.43,PLN
2022-06-29,10.43,PLN
2022-06-30,10.31,PLN
2022-07-01,10.36,PLN
2022-07-04,10.35,PLN
2022-07-05,10.21,PLN
2022-07-06,10.25,PLN
2022-07-07,10.45,PLN
2022-07-08,10.54,PLN
2022-07-11,10.48,PLN
2022-07-12,10.34,PLN
2022-07-13,10.27,PLN
2022-07-14,10.14,PLN
2022-07-15,10.23,PLN
2022-07-18,10.37,PLN
2022-07-19,10.43,PLN
2022-07-20,10.52,PLN
2022-07-21,10.54,PLN
2022-07-22,10.62,PLN
2022-07-25,10.58,PLN
2022-07-26,10.52,PLN
2022-07-27,10.54,PLN
2022-07-28,10.62,PLN
2022-07-29,10.82,PLN
2022-08-01,10.86,PLN
2022-08-02,10.79,PLN
2022-08-03,10.80,PLN
2022-08-04,10.76,PLN
2022-08-05,10.72,PLN
2022-08-08,10.82,PLN
2022-08-09,10.76,PLN
2022-08-10,10.83,PLN
2022-08-11,10.93,PLN
2022-08-12,11.00,PLN
2022-08-16,11.02,PLN
2022-08-17,10.86,PLN
2022-08-18,10.92,PLN
2022-08-19,10.80,PLN
2022-08-22,10.65,PLN
2022-08-23,10.63,PLN
2022-08-24,10.54,PLN
2022-08-25,10.60,PLN
2022-08-26,10.48,PLN
2022-08-29,10.30,PLN
2022-08-30,10.20,PLN
2022-08-31,10.17,PLN
2022-09-01,10.01,PLN
2022-09-02,10.17,PLN
2022-09-05,10.10,PLN
2022-09-06,10.01,PLN
2022-09-07,10.07,PLN
2022-09-08,10.16,PLN
2022-09-09,10.34,PLN
2022-09-12,10.44,PLN
2022-09-13,10.25,PLN
2022-09-14,10.22,PLN
2022-09-15,10.22,PLN
2022-09-16,10.04,PLN
2022-09-19,10.13,PLN
2022-09-20,10.06,PLN
2022-09-21,10.11,PLN
2022-09-22,10.06,PLN
2022-09-23,9.83,PLN
2022-09-26,9.73,PLN
2022-09-27,9.77,PLN
2022-09-28,9.73,PLN
2022-09-29,9.50,PLN
2022-09-30,9.55,PLN
2022-10-03,9.56,PLN
2022-10-04,9.79,PLN
2022-10-05,9.71,PLN
2022-10-06,9.75,PLN
2022-10-07,9.63,PLN
2022-10-10,9.51,PLN
2022-10-11,9.49,PLN
2022-10-12,9.43,PLN
2022-10-13,9.40,PLN
2022-10-14,9.51,PLN
2022-10-17,9.55,PLN
2022-10-18,9.60,PLN
2022-10-19,9.50,PLN
2022-10-20,9.56,PLN
2022-10-21,9.48,PLN
2022-10-24,9.61,PLN
2022-10-25,9.69,PLN
2022-10-26,9.85,PLN
2022-10-27,9.89,PLN
2022-10-28,9.89,PLN
2022-10-31,9.98,PLN
2022-11-02,10.07,PLN
2022-11-03,9.97,PLN
2022-11-04,10.09,PLN
2022-11-07,10.18,PLN
2022-11-08,10.29,PLN
2022-11-09,10.28,PLN
2022-11-10,10.49,PLN
2022-11-14,10.66,PLN
2022-11-15,10.76,PLN
2022-11-16,10.65,PLN
2022-11-17,10.53,PLN
2022-11-18,10.59,PLN
2022-11-21,10.51,PLN
2022-11-22,10.64,PLN
2022-11-23,10.66,PLN
2022-11-24,10.78,PLN
2022-11-25,10.78,PLN
2022-11-28,10.72,PLN
2022-11-29,10.70,PLN
2022-11-30,10.75,PLN
2022-12-01,10.90,PLN
2022-12-02,10.84,PLN
2022-12-05,10.82,PLN
2022-12-06,10.72,PLN
2022-12-07,10.71,PLN
2022-12-08,10.70,PLN
2022-12-09,10.74,PLN
2022-12-12,10.79,PLN
2022-12-13,10.93,PLN
2022-12-14,10.96,PLN
2022-12-15,10.75,PLN
2022-12-16,10.69,PLN
2022-12-19,10.67,PLN
2022-12-20,10.71,PLN
2022-12-21,10.82,PLN
2022-12-22,10.75,PLN
2022-12-23,10.74,PLN
2022-12-27,10.71,PLN
2022-12-28,10.70,PLN
2022-12-29,10.81,PLN
2022-12-30,10.78,PLN
2023-01-02,10.84,PLN
2023-01-03,10.95,PLN
2023-01-04,11.10,PLN
2023-01-05,11.11,PLN
2023-01-09,11.38,PLN
2023-01-10,11.39,PLN
2023-01-11,11.34,PLN
2023-01-12,11.42,PLN
2023-01-13,11.40,PLN
2023-01-16,11.46,PLN
2023-01-17,11.39,PLN
2023-01-18,11.40,PLN
2023-01-19,11.28,PLN
2023-01-20,11.33,PLN
2023-01-23,11.45,PLN
2023-01-24,11.43,PLN
2023-01-25,11.32,PLN
2023-01-26,11.44,PLN
