Data,Wartość dla NN Konserwatywny (A),Waluta
2022-11-28,274.64,PLN
2022-11-29,274.62,PLN
2022-11-30,274.67,PLN
2022-12-01,274.94,PLN
2022-12-02,274.94,PLN
2022-12-05,275.02,PLN
2022-12-06,275.16,PLN
2022-12-07,275.37,PLN
2022-12-08,275.60,PLN
2022-12-09,275.82,PLN
2022-12-12,276.08,PLN
2022-12-13,276.78,PLN
2022-12-14,277.12,PLN
2022-12-15,277.15,PLN
2022-12-16,277.64,PLN
2022-12-19,277.64,PLN
2022-12-20,277.93,PLN
2022-12-21,278.23,PLN
2022-12-22,278.52,PLN
2022-12-23,278.62,PLN
2022-12-27,278.80,PLN
2022-12-28,278.92,PLN
2022-12-29,278.73,PLN
2022-12-30,279.05,PLN
2023-01-02,279.49,PLN
2023-01-03,279.98,PLN
2023-01-04,280.26,PLN
2023-01-05,280.37,PLN
2023-01-09,280.74,PLN
2023-01-10,280.98,PLN
2023-01-11,281.38,PLN
2023-01-12,281.49,PLN
2023-01-13,281.37,PLN
2023-01-16,281.53,PLN
2023-01-17,282.01,PLN
2023-01-18,282.24,PLN
2023-01-19,282.23,PLN
2023-01-20,282.13,PLN
2023-01-23,282.24,PLN
2023-01-24,282.65,PLN
2023-01-25,282.83,PLN
2023-01-26,283.03,PLN
