Data,Wartość dla NN Obligacji 2 (A),Waluta
2022-11-28,298.30,PLN
2022-11-29,299.64,PLN
2022-11-30,301.25,PLN
2022-12-01,303.49,PLN
2022-12-02,303.68,PLN
2022-12-05,300.95,PLN
2022-12-06,301.51,PLN
2022-12-07,303.20,PLN
2022-12-08,304.12,PLN
2022-12-09,304.32,PLN
2022-12-12,303.40,PLN
2022-12-13,305.16,PLN
2022-12-14,306.57,PLN
2022-12-15,306.01,PLN
2022-12-16,304.01,PLN
2022-12-19,303.08,PLN
2022-12-20,304.00,PLN
2022-12-21,305.42,PLN
2022-12-22,304.77,PLN
2022-12-23,304.38,PLN
2022-12-27,304.26,PLN
2022-12-28,304.59,PLN
2022-12-29,303.48,PLN
2022-12-30,304.16,PLN
2023-01-02,305.73,PLN
2023-01-03,307.98,PLN
2023-01-04,311.20,PLN
2023-01-05,313.88,PLN
2023-01-09,319.55,PLN
2023-01-10,316.51,PLN
2023-01-11,318.04,PLN
2023-01-12,318.78,PLN
2023-01-13,317.26,PLN
2023-01-16,316.98,PLN
2023-01-17,317.55,PLN
2023-01-18,319.66,PLN
2023-01-19,318.51,PLN
2023-01-20,317.86,PLN
2023-01-23,317.44,PLN
2023-01-24,318.59,PLN
2023-01-25,320.10,PLN
2023-01-26,321.02,PLN
