Data,Wartość dla NN Krótkoterminowych Obligacji (A),Waluta
2022-11-28,141.16,PLN
2022-11-29,141.24,PLN
2022-11-30,141.37,PLN
2022-12-01,141.74,PLN
2022-12-02,141.73,PLN
2022-12-05,141.67,PLN
2022-12-06,141.75,PLN
2022-12-07,141.93,PLN
2022-12-08,142.04,PLN
2022-12-09,142.18,PLN
2022-12-12,142.30,PLN
2022-12-13,142.70,PLN
2022-12-14,142.85,PLN
2022-12-15,142.92,PLN
2022-12-16,143.06,PLN
2022-12-19,143.04,PLN
2022-12-20,143.21,PLN
2022-12-21,143.30,PLN
2022-12-22,143.43,PLN
2022-12-23,143.47,PLN
2022-12-27,143.54,PLN
2022-12-28,143.61,PLN
2022-12-29,143.46,PLN
2022-12-30,143.63,PLN
2023-01-02,143.86,PLN
2023-01-03,144.08,PLN
2023-01-04,144.41,PLN
2023-01-05,144.58,PLN
2023-01-09,145.11,PLN
2023-01-10,144.97,PLN
2023-01-11,145.26,PLN
2023-01-12,145.36,PLN
2023-01-13,145.28,PLN
2023-01-16,145.32,PLN
2023-01-17,145.45,PLN
2023-01-18,145.61,PLN
2023-01-19,145.61,PLN
2023-01-20,145.63,PLN
2023-01-23,145.65,PLN
2023-01-24,145.93,PLN
2023-01-25,146.08,PLN
2023-01-26,146.20,PLN
