Data,Wartość dla NN Perspektywa 2030 (A),Waluta
2022-01-26,144.51,PLN
2022-01-27,144.30,PLN
2022-01-28,143.70,PLN
2022-01-31,144.41,PLN
2022-02-01,144.82,PLN
2022-02-02,145.17,PLN
2022-02-03,144.89,PLN
2022-02-04,144.45,PLN
2022-02-07,144.57,PLN
2022-02-08,144.71,PLN
2022-02-09,145.23,PLN
2022-02-10,145.04,PLN
2022-02-11,144.57,PLN
2022-02-14,143.53,PLN
2022-02-15,144.29,PLN
2022-02-16,144.45,PLN
2022-02-17,144.21,PLN
2022-02-18,143.77,PLN
2022-02-21,143.34,PLN
2022-02-22,143.06,PLN
2022-02-23,142.53,PLN
2022-02-24,140.07,PLN
2022-02-25,141.89,PLN
2022-02-28,141.73,PLN
2022-03-01,141.09,PLN
2022-03-02,141.38,PLN
2022-03-03,140.94,PLN
2022-03-04,139.32,PLN
2022-03-07,138.09,PLN
2022-03-08,137.40,PLN
2022-03-09,138.38,PLN
2022-03-10,137.99,PLN
2022-03-11,138.08,PLN
2022-03-14,137.33,PLN
2022-03-15,137.49,PLN
2022-03-16,139.09,PLN
2022-03-17,139.88,PLN
2022-03-18,140.48,PLN
2022-03-21,140.21,PLN
2022-03-22,140.58,PLN
2022-03-23,140.41,PLN
2022-03-24,140.35,PLN
2022-03-25,140.41,PLN
2022-03-28,140.31,PLN
2022-03-29,141.10,PLN
2022-03-30,141.48,PLN
2022-03-31,141.23,PLN
2022-04-01,141.13,PLN
2022-04-04,141.48,PLN
2022-04-05,141.13,PLN
2022-04-06,140.16,PLN
2022-04-07,139.56,PLN
2022-04-08,139.49,PLN
2022-04-11,138.92,PLN
2022-04-12,138.99,PLN
2022-04-13,139.37,PLN
2022-04-14,139.26,PLN
2022-04-19,138.66,PLN
2022-04-20,138.97,PLN
2022-04-21,138.82,PLN
2022-04-22,137.79,PLN
2022-04-25,136.80,PLN
2022-04-26,136.84,PLN
2022-04-27,136.71,PLN
2022-04-28,136.78,PLN
2022-04-29,136.80,PLN
2022-05-02,136.37,PLN
2022-05-04,135.79,PLN
2022-05-05,135.59,PLN
2022-05-06,134.95,PLN
2022-05-09,133.61,PLN
2022-05-10,133.41,PLN
2022-05-11,133.84,PLN
2022-05-12,133.39,PLN
2022-05-13,134.37,PLN
2022-05-16,134.29,PLN
2022-05-17,135.32,PLN
2022-05-18,134.92,PLN
2022-05-19,134.49,PLN
2022-05-20,134.82,PLN
2022-05-23,135.23,PLN
2022-05-24,134.83,PLN
2022-05-25,135.08,PLN
2022-05-26,135.63,PLN
2022-05-27,136.09,PLN
2022-05-30,136.55,PLN
2022-05-31,136.50,PLN
2022-06-01,136.26,PLN
2022-06-02,136.21,PLN
2022-06-03,136.09,PLN
2022-06-06,136.54,PLN
2022-06-07,136.35,PLN
2022-06-08,136.24,PLN
2022-06-09,135.57,PLN
2022-06-10,134.07,PLN
2022-06-13,132.26,PLN
2022-06-14,131.78,PLN
2022-06-15,131.89,PLN
2022-06-17,131.18,PLN
2022-06-20,131.09,PLN
2022-06-21,131.73,PLN
2022-06-22,131.95,PLN
2022-06-23,132.27,PLN
2022-06-24,132.86,PLN
2022-06-27,132.99,PLN
2022-06-28,133.08,PLN
2022-06-29,132.77,PLN
2022-06-30,132.35,PLN
2022-07-01,132.85,PLN
2022-07-04,132.91,PLN
2022-07-05,132.19,PLN
2022-07-06,132.31,PLN
2022-07-07,133.11,PLN
2022-07-08,133.77,PLN
2022-07-11,133.55,PLN
2022-07-12,133.07,PLN
2022-07-13,132.57,PLN
2022-07-14,132.02,PLN
2022-07-15,132.46,PLN
2022-07-18,133.31,PLN
2022-07-19,133.66,PLN
2022-07-20,134.11,PLN
2022-07-21,134.78,PLN
2022-07-22,135.39,PLN
2022-07-25,135.36,PLN
2022-07-26,135.26,PLN
2022-07-27,135.38,PLN
2022-07-28,135.79,PLN
2022-07-29,136.51,PLN
2022-08-01,136.80,PLN
2022-08-02,136.36,PLN
2022-08-03,136.31,PLN
2022-08-04,136.73,PLN
2022-08-05,136.74,PLN
2022-08-08,137.23,PLN
2022-08-09,136.88,PLN
2022-08-10,137.39,PLN
2022-08-11,137.86,PLN
2022-08-12,138.01,PLN
2022-08-16,138.08,PLN
2022-08-17,137.67,PLN
2022-08-18,137.59,PLN
2022-08-19,136.84,PLN
2022-08-22,136.13,PLN
2022-08-23,135.83,PLN
2022-08-24,135.64,PLN
2022-08-25,136.09,PLN
2022-08-26,135.76,PLN
2022-08-29,135.20,PLN
2022-08-30,134.87,PLN
2022-08-31,134.69,PLN
2022-09-01,133.89,PLN
2022-09-02,134.71,PLN
2022-09-05,134.28,PLN
2022-09-06,134.04,PLN
2022-09-07,134.18,PLN
2022-09-08,134.71,PLN
2022-09-09,135.33,PLN
2022-09-12,136.23,PLN
2022-09-13,135.41,PLN
2022-09-14,134.85,PLN
2022-09-15,134.57,PLN
2022-09-16,133.87,PLN
2022-09-19,133.95,PLN
2022-09-20,133.82,PLN
2022-09-21,133.91,PLN
2022-09-22,133.16,PLN
2022-09-23,131.98,PLN
2022-09-26,131.06,PLN
2022-09-27,130.99,PLN
2022-09-28,130.67,PLN
2022-09-29,129.81,PLN
2022-09-30,130.10,PLN
2022-10-03,130.41,PLN
2022-10-04,131.80,PLN
2022-10-05,131.29,PLN
2022-10-06,131.41,PLN
2022-10-07,130.58,PLN
2022-10-10,129.96,PLN
2022-10-11,129.22,PLN
2022-10-12,128.65,PLN
2022-10-13,128.85,PLN
2022-10-14,129.17,PLN
2022-10-17,129.22,PLN
2022-10-18,129.07,PLN
2022-10-19,128.33,PLN
