Data,Wartość dla NN (L) Total Return (A),Waluta
2022-06-20,98.49,PLN
2022-06-21,99.00,PLN
2022-06-22,98.24,PLN
2022-06-23,97.93,PLN
2022-06-24,97.44,PLN
2022-06-27,98.28,PLN
2022-06-28,98.25,PLN
2022-06-29,98.44,PLN
2022-06-30,98.13,PLN
2022-07-01,98.53,PLN
2022-07-04,98.55,PLN
2022-07-05,98.42,PLN
2022-07-06,97.44,PLN
2022-07-07,97.60,PLN
2022-07-08,98.06,PLN
2022-07-11,97.74,PLN
2022-07-12,97.66,PLN
2022-07-13,97.68,PLN
2022-07-14,98.26,PLN
2022-07-15,97.79,PLN
2022-07-18,97.69,PLN
2022-07-19,97.52,PLN
2022-07-20,97.76,PLN
2022-07-21,97.66,PLN
2022-07-22,97.84,PLN
2022-07-25,97.89,PLN
2022-07-26,97.65,PLN
2022-07-27,98.05,PLN
2022-07-28,98.53,PLN
2022-07-29,98.81,PLN
2022-08-01,98.56,PLN
2022-08-02,98.88,PLN
2022-08-03,99.26,PLN
2022-08-04,99.03,PLN
2022-08-05,99.03,PLN
2022-08-08,99.02,PLN
2022-08-09,99.22,PLN
2022-08-10,99.86,PLN
2022-08-11,99.89,PLN
2022-08-12,100.37,PLN
2022-08-16,100.18,PLN
2022-08-17,100.36,PLN
2022-08-18,100.38,PLN
2022-08-19,99.94,PLN
2022-08-22,99.22,PLN
2022-08-23,99.40,PLN
2022-08-24,99.18,PLN
2022-08-25,99.42,PLN
2022-08-26,99.44,PLN
2022-08-29,98.88,PLN
2022-08-30,98.80,PLN
2022-08-31,99.14,PLN
2022-09-01,98.66,PLN
2022-09-02,98.81,PLN
2022-09-05,98.59,PLN
2022-09-06,98.25,PLN
2022-09-07,98.64,PLN
2022-09-08,98.93,PLN
2022-09-09,98.72,PLN
2022-09-12,98.53,PLN
2022-09-13,97.66,PLN
2022-09-14,97.60,PLN
2022-09-15,97.28,PLN
2022-09-16,96.55,PLN
2022-09-19,97.05,PLN
2022-09-20,96.78,PLN
2022-09-21,96.77,PLN
2022-09-22,96.76,PLN
2022-09-23,96.44,PLN
2022-09-26,95.79,PLN
2022-09-27,95.61,PLN
2022-09-28,95.39,PLN
2022-09-29,94.97,PLN
2022-09-30,95.13,PLN
2022-10-03,94.72,PLN
2022-10-04,94.82,PLN
2022-10-05,94.37,PLN
2022-10-06,94.78,PLN
2022-10-07,94.80,PLN
2022-10-10,94.11,PLN
2022-10-11,94.31,PLN
2022-10-12,94.16,PLN
2022-10-13,94.15,PLN
2022-10-14,94.36,PLN
2022-10-17,94.43,PLN
2022-10-18,94.65,PLN
2022-10-19,94.25,PLN
2022-10-20,94.56,PLN
2022-10-21,94.49,PLN
2022-10-24,94.68,PLN
2022-10-25,94.81,PLN
2022-10-26,95.13,PLN
2022-10-27,95.23,PLN
2022-10-28,95.26,PLN
2022-10-31,95.66,PLN
2022-11-02,95.60,PLN
2022-11-03,95.59,PLN
2022-11-04,95.70,PLN
2022-11-07,96.15,PLN
2022-11-08,96.44,PLN
2022-11-09,96.74,PLN
2022-11-10,97.11,PLN
2022-11-14,96.92,PLN
2022-11-15,97.31,PLN
2022-11-16,96.91,PLN
2022-11-17,96.28,PLN
2022-11-18,96.59,PLN
2022-11-21,96.46,PLN
2022-11-22,96.83,PLN
2022-11-23,97.22,PLN
2022-11-24,97.48,PLN
2022-11-25,97.63,PLN
2022-11-28,97.90,PLN
2022-11-29,97.71,PLN
2022-11-30,98.12,PLN
2022-12-01,98.53,PLN
2022-12-02,98.85,PLN
2022-12-05,99.10,PLN
2022-12-06,98.79,PLN
2022-12-07,98.72,PLN
2022-12-08,98.56,PLN
2022-12-09,98.90,PLN
2022-12-12,99.23,PLN
2022-12-13,99.56,PLN
2022-12-14,100.00,PLN
2022-12-15,99.57,PLN
2022-12-16,99.85,PLN
2022-12-19,99.67,PLN
2022-12-20,99.70,PLN
2022-12-21,99.78,PLN
2022-12-22,99.85,PLN
2022-12-23,99.72,PLN
2022-12-27,99.50,PLN
2022-12-28,99.61,PLN
2022-12-29,99.83,PLN
2022-12-30,100.05,PLN
2023-01-02,100.37,PLN
2023-01-03,100.76,PLN
2023-01-04,101.30,PLN
2023-01-05,101.41,PLN
2023-01-09,102.33,PLN
2023-01-10,102.66,PLN
2023-01-11,102.42,PLN
2023-01-12,102.97,PLN
2023-01-13,103.07,PLN
2023-01-16,103.85,PLN
2023-01-17,103.74,PLN
2023-01-18,103.87,PLN
2023-01-19,103.35,PLN
2023-01-20,103.53,PLN
2023-01-23,103.66,PLN
2023-01-24,103.68,PLN
2023-01-25,103.38,PLN
2023-01-26,103.54,PLN
