Data,Wartość dla NN Perspektywa 2025 (A),Waluta
2022-01-26,141.95,PLN
2022-01-27,141.78,PLN
2022-01-28,141.38,PLN
2022-01-31,141.83,PLN
2022-02-01,142.12,PLN
2022-02-02,142.38,PLN
2022-02-03,142.19,PLN
2022-02-04,141.85,PLN
2022-02-07,141.92,PLN
2022-02-08,142.01,PLN
2022-02-09,142.31,PLN
2022-02-10,142.15,PLN
2022-02-11,141.80,PLN
2022-02-14,141.05,PLN
2022-02-15,141.60,PLN
2022-02-16,141.78,PLN
2022-02-17,141.66,PLN
2022-02-18,141.38,PLN
2022-02-21,141.13,PLN
2022-02-22,140.89,PLN
2022-02-23,140.50,PLN
2022-02-24,138.77,PLN
2022-02-25,140.01,PLN
2022-02-28,139.84,PLN
2022-03-01,139.43,PLN
2022-03-02,139.59,PLN
2022-03-03,139.25,PLN
2022-03-04,138.00,PLN
2022-03-07,136.86,PLN
2022-03-08,136.39,PLN
2022-03-09,136.94,PLN
2022-03-10,136.64,PLN
2022-03-11,136.60,PLN
2022-03-14,135.94,PLN
2022-03-15,136.13,PLN
2022-03-16,137.30,PLN
2022-03-17,137.89,PLN
2022-03-18,138.38,PLN
2022-03-21,138.08,PLN
2022-03-22,138.21,PLN
2022-03-23,138.05,PLN
2022-03-24,137.93,PLN
2022-03-25,138.01,PLN
2022-03-28,137.90,PLN
2022-03-29,138.52,PLN
2022-03-30,138.90,PLN
2022-03-31,138.77,PLN
2022-04-01,138.69,PLN
2022-04-04,138.88,PLN
2022-04-05,138.55,PLN
2022-04-06,137.80,PLN
2022-04-07,137.22,PLN
2022-04-08,136.97,PLN
2022-04-11,136.48,PLN
2022-04-12,136.58,PLN
2022-04-13,137.00,PLN
2022-04-14,136.87,PLN
2022-04-19,136.30,PLN
2022-04-20,136.61,PLN
2022-04-21,136.45,PLN
2022-04-22,135.70,PLN
2022-04-25,135.05,PLN
2022-04-26,135.20,PLN
2022-04-27,135.02,PLN
2022-04-28,134.99,PLN
2022-04-29,134.88,PLN
2022-05-02,134.53,PLN
2022-05-04,134.03,PLN
2022-05-05,133.89,PLN
2022-05-06,133.41,PLN
2022-05-09,132.29,PLN
2022-05-10,132.12,PLN
2022-05-11,132.45,PLN
2022-05-12,132.31,PLN
2022-05-13,132.94,PLN
2022-05-16,132.89,PLN
2022-05-17,133.76,PLN
2022-05-18,133.48,PLN
2022-05-19,133.22,PLN
2022-05-20,133.51,PLN
2022-05-23,133.73,PLN
2022-05-24,133.53,PLN
2022-05-25,133.69,PLN
2022-05-26,134.09,PLN
2022-05-27,134.39,PLN
2022-05-30,134.71,PLN
2022-05-31,134.66,PLN
2022-06-01,134.51,PLN
2022-06-02,134.46,PLN
2022-06-03,134.33,PLN
2022-06-06,134.64,PLN
2022-06-07,134.53,PLN
2022-06-08,134.39,PLN
2022-06-09,133.84,PLN
2022-06-10,132.68,PLN
2022-06-13,131.17,PLN
2022-06-14,130.69,PLN
2022-06-15,130.71,PLN
2022-06-17,130.17,PLN
2022-06-20,130.02,PLN
2022-06-21,130.46,PLN
2022-06-22,130.91,PLN
2022-06-23,131.36,PLN
2022-06-24,131.64,PLN
2022-06-27,131.64,PLN
2022-06-28,131.64,PLN
2022-06-29,131.46,PLN
2022-06-30,131.26,PLN
2022-07-01,131.81,PLN
2022-07-04,131.84,PLN
2022-07-05,131.29,PLN
2022-07-06,131.34,PLN
2022-07-07,131.89,PLN
2022-07-08,132.45,PLN
2022-07-11,132.44,PLN
2022-07-12,132.05,PLN
2022-07-13,131.64,PLN
2022-07-14,131.21,PLN
2022-07-15,131.49,PLN
2022-07-18,132.17,PLN
2022-07-19,132.46,PLN
2022-07-20,132.85,PLN
2022-07-21,133.56,PLN
2022-07-22,134.23,PLN
2022-07-25,134.24,PLN
2022-07-26,134.27,PLN
2022-07-27,134.28,PLN
2022-07-28,134.56,PLN
2022-07-29,135.18,PLN
2022-08-01,135.43,PLN
2022-08-02,135.06,PLN
2022-08-03,134.92,PLN
2022-08-04,135.35,PLN
2022-08-05,135.43,PLN
2022-08-08,135.81,PLN
2022-08-09,135.53,PLN
2022-08-10,135.94,PLN
2022-08-11,136.29,PLN
2022-08-12,136.40,PLN
2022-08-16,136.37,PLN
2022-08-17,136.06,PLN
2022-08-18,135.92,PLN
2022-08-19,135.28,PLN
2022-08-22,134.72,PLN
2022-08-23,134.42,PLN
2022-08-24,134.25,PLN
2022-08-25,134.62,PLN
2022-08-26,134.39,PLN
2022-08-29,133.95,PLN
2022-08-30,133.85,PLN
2022-08-31,133.70,PLN
2022-09-01,133.13,PLN
2022-09-02,133.80,PLN
2022-09-05,133.49,PLN
2022-09-06,133.31,PLN
2022-09-07,133.49,PLN
2022-09-08,133.92,PLN
2022-09-09,134.38,PLN
2022-09-12,135.11,PLN
2022-09-13,134.57,PLN
2022-09-14,134.05,PLN
2022-09-15,133.77,PLN
2022-09-16,133.33,PLN
2022-09-19,133.37,PLN
2022-09-20,133.27,PLN
2022-09-21,133.37,PLN
2022-09-22,132.77,PLN
2022-09-23,131.84,PLN
2022-09-26,130.94,PLN
2022-09-27,130.82,PLN
2022-09-28,130.49,PLN
2022-09-29,129.73,PLN
2022-09-30,129.95,PLN
2022-10-03,130.25,PLN
2022-10-04,131.32,PLN
2022-10-05,130.86,PLN
2022-10-06,130.90,PLN
2022-10-07,130.25,PLN
2022-10-10,129.77,PLN
2022-10-11,129.01,PLN
2022-10-12,128.39,PLN
2022-10-13,128.66,PLN
2022-10-14,128.88,PLN
2022-10-17,128.73,PLN
2022-10-18,128.43,PLN
2022-10-19,127.75,PLN
2022-10-20,127.62,PLN
2022-10-21,127.23,PLN
2022-10-24,127.93,PLN
2022-10-25,128.43,PLN
2022-10-26,129.51,PLN
2022-10-27,129.48,PLN
2022-10-28,129.12,PLN
2022-10-31,128.94,PLN
2022-11-02,129.28,PLN
2022-11-03,129.05,PLN
2022-11-04,129.76,PLN
2022-11-07,130.33,PLN
2022-11-08,130.68,PLN
2022-11-09,131.14,PLN
2022-11-10,132.99,PLN
2022-11-14,133.43,PLN
2022-11-15,134.29,PLN
2022-11-16,133.58,PLN
2022-11-17,133.01,PLN
2022-11-18,133.32,PLN
2022-11-21,133.25,PLN
2022-11-22,133.55,PLN
2022-11-23,134.08,PLN
2022-11-24,134.56,PLN
2022-11-25,134.55,PLN
2022-11-28,134.30,PLN
2022-11-29,134.56,PLN
2022-11-30,135.01,PLN
2022-12-01,135.85,PLN
2022-12-02,135.75,PLN
2022-12-05,135.34,PLN
2022-12-06,135.17,PLN
2022-12-07,135.39,PLN
2022-12-08,135.67,PLN
2022-12-09,135.86,PLN
2022-12-12,135.73,PLN
2022-12-13,136.63,PLN
2022-12-14,136.86,PLN
2022-12-15,136.28,PLN
2022-12-16,135.80,PLN
2022-12-19,135.67,PLN
2022-12-20,135.76,PLN
2022-12-21,136.20,PLN
2022-12-22,136.03,PLN
2022-12-23,135.98,PLN
2022-12-27,135.91,PLN
2022-12-28,136.00,PLN
2022-12-29,136.09,PLN
2022-12-30,136.05,PLN
2023-01-02,136.11,PLN
2023-01-03,136.79,PLN
2023-01-04,137.57,PLN
2023-01-05,138.30,PLN
2023-01-09,140.07,PLN
2023-01-10,139.70,PLN
2023-01-11,140.06,PLN
2023-01-12,140.51,PLN
2023-01-13,140.35,PLN
2023-01-16,140.48,PLN
2023-01-17,140.47,PLN
2023-01-18,140.70,PLN
2023-01-19,140.50,PLN
2023-01-20,140.66,PLN
2023-01-23,140.84,PLN
2023-01-24,141.11,PLN
2023-01-25,140.96,PLN
2023-01-26,141.67,PLN
