Data,Wartość dla NN (L) Globalny Spółek Dywidendowych (A),Waluta
2021-12-20,291.59,PLN
2021-12-21,295.46,PLN
2021-12-22,295.81,PLN
2021-12-23,297.90,PLN
2021-12-27,299.49,PLN
2021-12-28,301.46,PLN
2021-12-29,300.48,PLN
2021-12-30,300.50,PLN
2022-01-03,302.52,PLN
2022-01-04,305.61,PLN
2022-01-05,304.89,PLN
2022-01-07,306.15,PLN
2022-01-10,306.66,PLN
2022-01-11,307.72,PLN
2022-01-12,305.97,PLN
2022-01-13,305.93,PLN
2022-01-14,305.92,PLN
2022-01-17,305.88,PLN
2022-01-18,304.89,PLN
2022-01-19,302.13,PLN
2022-01-20,301.32,PLN
2022-01-21,297.57,PLN
2022-01-24,295.90,PLN
2022-01-25,297.13,PLN
2022-01-26,297.02,PLN
2022-01-27,299.60,PLN
2022-01-28,300.46,PLN
2022-01-31,301.20,PLN
2022-02-01,302.95,PLN
2022-02-02,303.69,PLN
2022-02-03,298.52,PLN
2022-02-04,296.70,PLN
2022-02-07,297.52,PLN
2022-02-08,300.37,PLN
2022-02-09,302.88,PLN
2022-02-10,300.08,PLN
2022-02-11,300.11,PLN
2022-02-14,298.01,PLN
2022-02-15,300.09,PLN
2022-02-16,300.61,PLN
2022-02-17,297.81,PLN
2022-02-18,297.28,PLN
2022-02-21,297.24,PLN
