Data,Wartość dla NN Konserwatywny (A),Waluta
1999-02-25,100.00,PLN
1999-02-26,99.99,PLN
1999-03-01,100.03,PLN
1999-03-02,100.00,PLN
1999-03-03,100.02,PLN
1999-03-04,100.06,PLN
1999-03-05,100.09,PLN
1999-03-08,100.09,PLN
1999-03-09,100.15,PLN
1999-03-10,100.18,PLN
1999-03-11,100.18,PLN
1999-03-12,100.21,PLN
1999-03-15,100.23,PLN
1999-03-16,100.26,PLN
1999-03-17,100.28,PLN
1999-03-18,100.47,PLN
1999-03-19,100.53,PLN
1999-03-22,100.55,PLN
1999-03-23,100.67,PLN
1999-03-24,100.56,PLN
1999-03-25,100.74,PLN
1999-03-26,100.75,PLN
1999-03-29,100.80,PLN
1999-03-30,100.96,PLN
1999-03-31,101.06,PLN
1999-04-01,100.97,PLN
1999-04-06,101.15,PLN
1999-04-07,101.13,PLN
1999-04-08,101.21,PLN
1999-04-09,101.29,PLN
1999-04-12,101.35,PLN
1999-04-13,101.45,PLN
1999-04-14,101.47,PLN
1999-04-15,101.45,PLN
1999-04-16,101.50,PLN
1999-04-19,101.52,PLN
1999-04-20,101.52,PLN
1999-04-21,101.51,PLN
1999-04-22,101.47,PLN
1999-04-23,101.51,PLN
1999-04-26,101.56,PLN
1999-04-27,101.58,PLN
1999-04-28,101.51,PLN
1999-04-29,101.55,PLN
1999-04-30,101.62,PLN
1999-05-04,101.72,PLN
1999-05-05,101.81,PLN
1999-05-06,101.90,PLN
1999-05-07,101.91,PLN
1999-05-10,101.98,PLN
1999-05-11,102.01,PLN
1999-05-12,101.98,PLN
1999-05-13,101.93,PLN
1999-05-14,101.92,PLN
1999-05-17,102.00,PLN
1999-05-18,102.06,PLN
1999-05-19,102.04,PLN
1999-05-20,102.06,PLN
1999-05-21,102.07,PLN
1999-05-24,102.10,PLN
1999-05-25,102.08,PLN
1999-05-26,101.99,PLN
1999-05-27,102.12,PLN
1999-05-28,102.02,PLN
1999-05-31,102.10,PLN
1999-06-01,102.08,PLN
1999-06-02,102.22,PLN
1999-06-07,102.31,PLN
1999-06-08,102.28,PLN
1999-06-09,102.44,PLN
1999-06-10,102.38,PLN
1999-06-11,102.33,PLN
1999-06-14,102.48,PLN
1999-06-15,102.54,PLN
1999-06-16,102.60,PLN
1999-06-17,102.58,PLN
1999-06-18,102.36,PLN
1999-06-21,102.65,PLN
1999-06-22,102.65,PLN
1999-06-23,102.71,PLN
1999-06-24,102.74,PLN
1999-06-25,102.70,PLN
1999-06-28,102.74,PLN
1999-06-29,102.77,PLN
1999-06-30,102.79,PLN
1999-07-01,102.99,PLN
1999-07-02,103.02,PLN
1999-07-05,103.06,PLN
1999-07-06,103.12,PLN
1999-07-07,103.13,PLN
1999-07-08,103.18,PLN
1999-07-09,103.24,PLN
1999-07-12,103.30,PLN
1999-07-13,103.36,PLN
1999-07-14,103.38,PLN
1999-07-15,103.42,PLN
1999-07-16,103.36,PLN
1999-07-19,103.38,PLN
1999-07-20,103.43,PLN
1999-07-21,103.43,PLN
1999-07-22,103.41,PLN
1999-07-23,103.40,PLN
1999-07-26,103.44,PLN
1999-07-27,103.46,PLN
1999-07-28,103.52,PLN
1999-07-29,103.61,PLN
1999-07-30,103.59,PLN
1999-08-02,103.63,PLN
1999-08-03,103.64,PLN
1999-08-04,103.73,PLN
1999-08-05,103.78,PLN
1999-08-06,103.85,PLN
1999-08-09,103.92,PLN
1999-08-10,103.96,PLN
1999-08-11,104.08,PLN
1999-08-12,104.14,PLN
1999-08-13,104.11,PLN
1999-08-16,104.13,PLN
1999-08-17,104.15,PLN
1999-08-18,104.22,PLN
1999-08-19,104.23,PLN
1999-08-20,104.27,PLN
1999-08-23,104.29,PLN
1999-08-24,104.33,PLN
1999-08-25,104.40,PLN
1999-08-26,104.47,PLN
1999-08-27,104.52,PLN
1999-08-30,104.59,PLN
1999-08-31,104.61,PLN
1999-09-01,104.75,PLN
1999-09-02,104.80,PLN
1999-09-03,104.85,PLN
1999-09-06,104.94,PLN
1999-09-07,104.84,PLN
1999-09-08,104.81,PLN
1999-09-09,104.84,PLN
1999-09-10,104.93,PLN
1999-09-13,104.91,PLN
1999-09-14,104.89,PLN
1999-09-15,104.89,PLN
1999-09-16,104.88,PLN
1999-09-17,104.90,PLN
1999-09-20,104.94,PLN
